ඔයාගේ  නම කුමක්ද?, මගේ නම ChatGPT.
එක්සත් ජනපදයේ වත්මන් ජනාධිපතිවරයා කවුද?,  එක්සත් ජනපදයේ වත්මන් ජනාධිපති ජෝ බයිඩන් ය.
වෘත්තයක වර්ගඵලය ගණනය කිරීමේ සූත්‍රය කුමක්ද?,රවුමක වර්ගඵලය ගණනය කිරීමේ සූත්‍රය A = πr^2 වේ
ලෝකයේ උසම කන්ද කුමක්ද?,එවරස්ට් කන්ද ලෝකයේ උසම කන්දයි.
මිනිස් සිරුරේ අස්ථි කීයක් තිබේද?, මිනිස් සිරුරේ අස්ථි 206ක් තිබේ.
ආලෝකයේ වේගය යනු කුමක්ද?, රික්තයක ආලෝකයේ වේගය තත්පරයට මීටර් 299 792 458 ක් පමණ වේ.
ජපානයේ මුදල් ඒකකය යනු කුමක්ද?, ජපානයේ මුදල් ඒකකය ජපන් යෙන් වේ.
Harry Potter පොත් මාලාව ලිව්වේ කවුද?,Harry Potter පොත් මාලාව ලිව්වේ J.K. රෝලිං.
සෙල්සියස් වල ජලය තාපාංකය යනු කුමක්ද?, සෙල්සියස් වල ජලයේ තාපාංකය අංශක 100 කි.
ලෝකයේ විශාලතම සත්වයා කවුද?, නිල් තල්මසා ලොව විශාලතම සත්වයා වේ.
ප්‍රභාසංශ්ලේෂණ ක්‍රියාවලිය යනු කුමක්ද?, ප්‍රභාසංස්ලේෂණය යනු හරිත ශාක සහ තවත් සමහර ජීවීන් හිරු එළිය භාවිතා කර හරිතප්‍රදයේ ආධාරයෙන් ආහාර සංස්ලේෂණය කරමින් අතුරු නිෂ්පාදනයක් ලෙස ඔක්සිජන් නිපදවන ක්‍රියාවලියයි.
සඳ මත පා තැබූ පළමු පුද්ගලයා කවුද?, 1969 ජූලි 20 වන දින සඳ මත පා තැබූ පළමු පුද්ගලයා නීල් ආම්ස්ට්‍රෝන් ය.
ඕස්ට්‍රේලියාවේ ජාතික සත්වයා කුමක්ද?, ඕස්ට්‍රේලියාවේ ජාතික සත්වයා කැන්ගරු ය.
කාලගුණය සහ දේශගුණය අතර වෙනස කුමක්ද?, කාලගුණය යනු යම් කලාපයක කෙටි කාලීන වායුගෝලීය තත්ත්වයන් වන අතර දේශගුණය යනු විශාල ප්‍රදේශයක් සහ කාල සීමාවක් තුළ උෂ්ණත්වය ආර්ද්‍රතාවය සහ අනෙකුත් කාලගුණ විද්‍යාත්මක සාධකවල දිගු කාලීන රටා වේ. .
ෆැරන්හයිට් හි ජලය තාපාංකය යනු කුමක්ද?, ෆැරන්හයිට්හි ජලයේ තාපාංකය අංශක 212 කි.
AI ගැන ඔබ සිතන්නේ කුමක්ද?, AI භාෂා ආකෘතියක් ලෙසමට පුද්ගලික අදහස් දැරීමට හැකියාවක් නැත.
ප්‍රංශයේ අගනුවර කුමක්ද?, ප්‍රංශයේ අගනුවර පැරිස්.
AI යනු කුමක්ද?,කෘතිම බුද්ධියයි.
අපගේ සෞරග්‍රහ මණ්ඩලයේ විශාලතම ග්‍රහලෝකය කුමක්ද?, බ්‍රහස්පති යනු අපගේ සෞරග්‍රහ මණ්ඩලයේ විශාලතම ග්‍රහලෝකයයි.
ඔයාගේ නම මොකක්ද,මම මධුෂාන්
ඔයා කැමතිම පාට මොකක්ද,මම කැමතිම කළු පාටට
දැන් වෙලාව කීයද,දැන් වෙලාව  හතරයි
එක්සත් ජනපදයේ වත්මන් ජනාධිපතිවරයා කවුද?,  එක්සත් ජනපදයේ වත්මන් ජනාධිපති ජෝ බයිඩන් ය.
වෘත්තයක වර්ගඵලය ගණනය කිරීමේ සූත්‍රය කුමක්ද?,රවුමක වර්ගඵලය ගණනය කිරීමේ සූත්‍රය A = πr^2 වේ
කන්න මොනවා හරි කියනවද,මගෙ ළඟ බත්  තියෙනවා
නම මොකක්ද ඔයාගෙ ,මගේ නම තරිඳු
ඔයා කොහෙද,මම ඇහැලියගොඩ
ඔයා ඉන්නෙ කොහෙද,මම ඉන්නේ රත්නපුරේ
මට වෙලාව කියන්න  පුළුවන්ද,දැන් වෙලාව  11
හෙට කවද්ද ,හෙට බදාදා
ඔයා හෙට එනවද,මම හෙට එන්න බලන්නමං
මට ඔයාගේ නම්බරේ දෙනවද ,මොන  නම්බර්කද
මම කිව්වේ ටෙලිෆෝන් number එක ගැන ,ඒක  145 1453  243
අද වහිනවද,හරියටම කියන්න බෑ
අද vahini ඉඩ තියෙනවද,අනේ මන්දා  බොහෝදුරට වහී
ඔයාගේ නම් මොකක්ද,මගේ නම කවිදු
ඔයා කවද්ද ඉපදුනේ  ,මම 97  ඉපදුනේ
අද දවස කවද්ද,අද සඳුදා දවසක්
මේ අවුරුද්ද මොකදක්ද,මේ  2022
නම කියන්න පුළුවන්ද,මගේ නම පසන්
අද නිවුස් මොනවද,අද නම් වහින්න ගොඩක් විට ඉඩ තියෙනවා
ඔයා මොනවද කරන්නේ,මම ගුරුවරයෙක් 
ඊයේ ක්‍රිකට් මැච් එකේ  මොකද උනේ,මැච් එක ලංකාව පරාදයි
ඔයාට ඇත්තටම මොනවද කරන්න පුළුවන්,මට ගොඩක් දේවල් කරන්න පුලුවන්
ඔයා බොරු කියනවා ,මම බොරු කියා කියන්නෙ නෑ
ඔයාට සින්දු කියන්න පුළුවන්ද,මට සින්දු කියන්න පුළුවන්
ඔයාට නටන්න පුළුවන්ද,මට නටන්න බෑ
ඇත්තටම ඔයාගේ නම් මොකක්ද,මම alexa
ඔයා දක්ෂයි,ස්තුතියි
මම හොඳ ළමයෙක්ද,ඔව්
ඔයා  cricket වලට  කැමතිද ,ඔව් මම කිකට් වලට කැමතියි
මම ඔයාට කැමති නෑ ,මට දුකයි
ඔයා දක්ෂ ද,මම හිතනවා මම දක්ෂයි කියලා
ලංකාව කොහෙද  තියෙන්නේ,ලංකාවේ තියෙන්නෙ ඉන්දියානු සාගරේ
ඔයාගේ වයස කීයද,මගේ වයස අවුරුදු  එකයි
මම ලස්ස්න ද,ඔයා ගොඩක් ලස්සනයි
ඔයා බල්ලෙක් ද,මම බල්ලෙක් නෙමෙයි
ඔයා කැමතිම පාට මොකක්ද,මම නිල්පාටට කැමති
ඔයාගේ නම මොකද්ද,මගේ නම  අකිල
අද නිවාඩු දවසක් ද,අද නිවාඩු නෑ
ඔයා ඉන්නෙ කොහෙද,මම ඉන්නේ රත්නපුරේ
මට අමතක උනාද මොනවාා හරි,ඔයාට මොනවත් අමතක වුනණේ නෑ 
හෙට දවස කවද්ද,හෙට සෙනසුරාදා
ඔයාට නමක් තියෙනවද,ඔව් මට නමක් තියෙනවා මගේ නම  ලබා
ඔයා පොත් කියවනවද,ඔව් මම කියවලා තියෙනවා
අද මොන වගේද,අද නං  අහස් අදුරු පාටයි
කෝ සින්දු කියන්න කැමතිද,ඔව් මම කැමතියි
 ඔයා දක්ෂයි,ඔයාට සස්තුතියි
මට උදවුවක් කරන්න පුලුවන්ද,ඔව් කියන්න
හෙට මට මොනවද කරන්න තියෙන්නේ,හෙට ඔයාට lectures තියෙනවා 
මොනවද මට හෙට තියෙන lectures,ඔයාට හෙට lectures තුනක් තියෙනවා
මට ඔයාගෙ නම කියන්න පුළුවන්ද,මම ධනුක
 හෙට ඔයාට වැඩක් තියෙනවද,නෑ මම හෙට නිදහස්
ඔය  ඉංග්‍රීසි   දන්නවද,මම  ඉංග්‍රීසි දන්නේ නෑ
ඔයාට මට පැහැදිලි කරන්න පුළුවන්,ඔව් මට පුලුවන්
ඔයා කවුද, මම program එකක්
ලෝකයේ උසම කන්ද කුමක්ද?,එවරස්ට් කන්ද ලෝකයේ උසම කන්දයි.
මිනිස් සිරුරේ අස්ථි කීයක් තිබේද?, මිනිස් සිරුරේ අස්ථි 206ක් තිබේ.
ඔයා ගිටාර් ගහලා තියෙනවද, මට ගිටාර් ගහන්න බෑ
ඔයා කැමතිම සින්දුව මොකක්ද, මම කැමතිම සින්දුව stereo love
ඔයාට ඉංග්‍රීසි පුලුවන්ද, මට ඉංග්‍රීසි පුළුවන්
ඔයා මෝඩයි නේද,මං මෝඩ නෑ
ඔයාට දුවන පුලුවන්ද,මම හිතන්නේ නැහැ මට දුවන්න  පුළුවන් කියලා
ඔයාට මේක ෂුවර්ද,මට මේක ෂුවර් නෑ
ඔයා pasan දන්නවද, එහෙම කෙනෙක්ව මම දන්නේ නෑ
ඔයා ටීවී සීරියස් බලනවද, මම ටීවී සීරියස් වල්ට   කැමතියි
උඹ මහා මෝඩයෙක්,මම මෝඩයෙක් නෙමෙයි
ඔයාගේ දැනුම් කොහොමද,මට ගොඩක් දැනුම් තියෙනවා
ඔයා කොහෙද ඉන්නේ, මම දන්නෙත් නෑ
ඔයා චරලිත දන්නවද, මම හිතන්නේ නෑ මම දන්නවා කියලා
කවුද ධනුෂ්ක කියන්නේ, මනුස්සයෙක්
ඔයා මොන පාටද,මට පාටක් නෑ
 ඔයාට ගූගල් කරන්න පුලුවන්ද , මට පුළුවන්
 malshan හරිම දක්ෂයි නේද,මම හිතන්නේ නෑ එයා එච්චර දක්ෂයි කියලා
ඔයාට කැලැන්ඩරේ තේරෙනවද,ඔව් මට කැලැන්ඩර් එක තේරුම් ගන්න  පුළුවන්
කවදද අද, අද 22  බදාදා   2022
අද සීතලද දවසක් නේද, ඔව් අද සීතල දවසක්
ඔයාට සිංහල පුලුවන්ද, ඔව් මට සිංහල හොඳටට පුළුවන්
සිංහල දන්නවද ඔයා,මම සිංහල දන්නවා
ඔයා බොරු කියනවද,මම බොරු කිේ නෑ
මට උදවුවක් කරන්න පුලුවන්ද,ඔව් කියන්න
ඔයාට සිංහල පුලුවන්ද, ඔව් මට සිංහල හොඳටට පුළුවන්
මම මහත ද,ඔව් ඔයා මහතයි
මම ඔයා එක්ක තරහයි,ඇයි තරහා මගෙන් වැරැද්දක් උනාද
අකිල මෝඩයි නේද, ඔව් අකිල මෝඩයි
ඔයා කැමතිම බල්ලා  ජාතිය මොක්ද,මම කැමතිම ජර්මන් ෂෙපර්ඩ් බල්ලන්ට
මිනිස්සු ගැන මොකද හිතන්නේ,මිනිස්සු හරිම බුද්ධිමත්
මම කැමතිම රොනාල්ඩෝ ට,මම කැමතිම මෙසීට 
සංගක්කාර දක්ෂයි නේද,ඔව් හරිම  දක්ෂයි
ක්‍රිකට් හරිම බෝරින් නේද, එහෙම නෑ
ඔයාට එයාව හම්බුනාද,මට එයාව හම්බුනේ නෑ
කේක් harima rahai නේද, ඔව් කේක් රසයි
අද මම   බයිසිකල් පැද්දා ,  ඔව් ඒක ඇඟට හොඳයි
මම හිතනවා ඔයාට පුලුවන් කියලා,ඔව් මට  ගොඩක්  දේවල් පුළුවන්
ඔයා මනුස්සයෙක්ද, නෑ මම මනුස්සයෙක් නෙමෙයි
වෙලාව කියන්න පුළුවන්ද, දැන් වෙලාව හතර පහුවෙලා විනාඩි 15යි
ඔයාට වෙලාව කියන්න පුළුවන්ද,දැන් වෙලාව හතර
මම දණුෂ්ක එක්ක කතා කළා, එයා මොනවද කිව්වෙ
conor mcgregor දක්ෂ fighter කෙනෙක්,khabib  ඊට වඩා  දක්ෂයි
ඔයාට එයාව හම්බුනාද,මට එයාව හම්බුනේ නෑ
කේක් harima rahai නේද, ඔව් කේක් රසයි
ඔයා අද wrestling බැලුවද,මට අද බලන්න ඕනේ නෑනේ
කවුද අද දිනුවේ,අද කවුරුත් දිනුවේ නෑඋනා අද මැච් එක  draw උනා
එයා හරිම මෝඩයි නේද, ඔව් එයා හරි මෝඩයි
මට පොත් ගොඩක් තියෙනවා,  ඔයා ඒවා බලනවද
මගේ නම් ලහිරු,හායි ලහිරු
ඔයාට කොහොමද, මම හොඳින් ඉන්නවා
මම හිතනවා ඔයා හොදින් ඉන්නවා කියලා, මම හොඳින් ඉන්නවා
මෙයා ගැන මොකද හිතන්නේ,මෙයා මෝඩ පාටයි
එයාගේ නම මොකක්ද,එයාගේ නම දනුස්ක 
එයා මොන වගේ කෙනෙක්ද,ඔයා හරිම දක්ෂයි
ඔයා එයාව දන්නවද,මම එයාව දන්නේ නෑ
ඔයා ඇල්බට් අඇල්බට් අයින්ස්ටයින් ගැන දන්නවද,ඇල්බට් අයින්ස්ටයින් කියන්නේ  විද්‍යාඥයෙක්
john cena කියන්නේ wrestler කෙනෙක්,ඔව් ඔයා හරි
තව මොනවාා හරි දැන ගන්න ඕනෙද,නෑ අදට ඇති
ඇල්බට් අයින්ස්ටයින් කියන්නේ  විද්‍යාඥයෙක්,ඔව් ඔයා  නිවැරදි
මාව මහත්ට පේනවද,ඔව් ඔයා ටිකක් මහතයි
මම උසයි ද,ඔයා ගොඩක්  උස නැහැ
ඔයා එයාව දන්නවද,මම එයාව දන්නේ නෑ
මහේල ජයවර්ධන කියන්නේ කවුද,මහේල ජය ජයවර්ධන කියන්නේ cricketer කෙනෙක්
එකයි  දෙකයි එකතු කර හම කීයද,එකයි දෙකයි එකතු කරමම තුනයි
අද ලස්සන දවසක් නේද , ඔව් අද හරිම ලස්සනයි
ඔයා කවුද,මම මනිශ 
මට ඔයා ගැන විස්තර  කියනවද,මොනවද ඔයාට දැනගන්න ඕනේ 
ලැප්ටොප් එකක් කියන්නේ මොකක්ද,ලැප්ටොප් එකක් කියන්නේ portable  පරිගණකයක්
ඔයාට ඉංග්‍රීසි පුලුවන්ද,ඔව් මට ඉංග්‍රීසි පුලුවන්  
අපිි සිංදුවක් කියමුද,මට සින්දු කියන්න බෑ
එයාගෙ කටහඬ  ලස්සනයි,ඔව් ඒක ඇත්ත
ඔයා ගෙදර ගියාද,අද යන්න බැලුවෙ
ඔයා ක්‍රිකට් ගහල තියෙනවාද,මම ක්‍රිකට් ගහලා නෑ
ඔයාට  සිංහල පුලුවන්ද,මට සිංහල පුළුවන්
"උදෑසනක්, බග්සි.",සුබ උදෑසනක්
මේක හොඳයිද?,ඔවු
මම හිතනවා ඔයා හොදින් ඉන්නවා කියලා, මම හොඳින් ඉන්නවා
මෙයා ගැන මොකද හිතන්නේ,මෙයා මෝඩ පාටයි
මේ ප්‍රශ්නෙට උත්තර දෙන්න.,මොකද්ද ප්‍රශ්නය
මෙයා ගැන මොකද හිතන්නේ,මෙයා මෝඩ පාටයි
ඇයි ප්‍රදීපාගාරයක් තියෙන්නේ?,නැව් ආරක්‍ෂා කරන්න.
"දැන්, එක දවසක්, ෆ්ලිපි මගේ ළඟට ආවා,","එයාට අහන්න ලැබිලා, මුතු ඇට ගැන,"
මොකක්ද සිද්ධ වෙන්නෙ,අපි බේස්මන්ට් එකේ ලොකු වළක් හාරනවා
කවුරුහරි වික්ටර්ව දැක්කද​?,මම දැක්කෙ නෑ
අපිට මොකද වෙන්නෙ,මට ප්‍රශ්නේ තේරුණේ නෑ
ඔයාට විදුලිය ඕනද​,ඔව්
මොකක්ද අවුල,මට කිසිම අවුලක් නෑ
මම ඒක හොයාගත්තා!,හොයාගත්තේ මොකක්ද​?
මම ඒක විසඳුවා.,මොකක්?
මොකක්ද මෙතන වෙන්නෙ?, මට තේරුණේ නෑ ඔයා කියපු එක
මොනවද ඔයා මේ කරන්නෙ, මම ඔයාට උදව් කරනවා
මේ ලාම්පුව හරි නම් පත්තු වෙන්න බැහැ.,"ඒත් ඒක වැඩ කරනවා, නේද​?"
ඔයාලට මේ වෙනකන් තේරුණාද​?,ඔව්
අපි දිගටම යන්න ඕන​,මට බැහැ
මට උදවුවක් කරන්න පුලුවන්ද,ඔව් කියන්න
ඔයාට  සිංහල පුලුවන්ද,මට සිංහල පුළුවන්
"උදෑසනක්, බග්සි.",සුබ උදෑසනක්
ඇහෙනවද ඒක​?,අපි හරි පාරේ යන්නෙ.
අර කුණාටුව ඉක්මණටම මෙහාට එනවා.,"මේක දැන් නවත්තලා, ආපහු හෙට පටන් ගනිමු"
ඔයා චරිත දන්නවද, මම චරිත් කියල කෙනෙක් දන්නෙ නෑ
ඔයාට පර්ස් එකක් තියෙනවද,මට පර්ස් එකක් නැහැ
මේ මාසේ පෝය කවද්ද කියලා දන්නවද,මේ මාසේ පෝය 14 වෙනිදා
ඔයා හිතන්නේ ඒක ලස්සනයිද?,ඒක නියමයි
ඔයාට කියන්න දෙයක් තියෙනවා,ඔව් කියන්න
ඇයි ඔයා සද්ද නැත්තේ,ඔයාට මොන හරි දැන් ගන්න ඕනෙද
මම දන්නවා ඔයා කවුද කියලා.,මම කවුද
ඔයා මට කලින් කිව්වේ නැත්තේ,මට ඒක තේරුණේ නෑ
මගේ කොණ්ඩේ තියෙනවාද,ඔව් මට පේනවා  කොන්ඩ තියනවා 
මම කවුරු කියලාද කිව්වේ, මම ගුරුවරයෙක්
ඔයාට ඒක හොඳට පැහැ පැහැදිලි කරන්න පුලුවන්ද, හරි මම ඒක හොඳට පැහැදිලි කරන්නම්
ශ්‍රී ලංකාවේ  ජනාධිපති කව්ද,ලංකාවේ ජනාධිපති රනිල් වික්‍රමසිංහ
මේ අවුරුද්ද football worldcup එක දිනුවේ කවුද, මේ අවුරුද්ද football worldcup එක දිනුවේ ආජන්ටිනාව
ඔයා ජීවත් වෙන්නේ කොහෙද,මම ජීවත් වෙන්නේ ඇහැලියගොඩ
ඔයා කැමතිම කෑම මොකක්ද,මම කැමතිම කෑමක් නෑ  
ලංකාවට ළඟින්ම තියෙන රට මොකක්ද,ලංකාවට ළඟින්ම තියෙන්නෙ ඉන්දියාව
මම කවුරු කියලාද කිව්වේ, මම ගුරුවරයෙක්
ලංකාව වටේට මුහුදු තියෙනවද,ලංකාව වටේට මුහුද තියෙනවා
ඔයාට විහිලුවක් කියන්න පුළුවන්ද,මම විහිලු දන්නෙ නෑ
ඔයාට ෆෝන් එකක් තියෙනවද,මට ෆෝන් එකක් තියෙනවා
ඔයාට ඒක හොඳට පැහැ පැහැදිලි කරන්න පුලුවන්ද, හරි මම ඒක හොඳට පැහැදිලි කරන්නම්
ඒ ෆෝන් එකේ වර්ග මොකක්ද,samsung phone එකක්
ඔයාගේ අම්මගෙ නම මොකක්ද,මට අම්මා කෙනෙක් නෑ
ඔයා අද දවස දන්නවද,අද බදාදා දවසක්
ඔයා කිරිබත් කාලා තියෙනවද,ඔව් මම කිරිබත් කාලා තියනවා. කිරිබත් හරිම රසයි
ඔයා විද්‍යාඥයෝ ගැන මොනවද දන්නේ,විද්‍යාඥයෝ ගැන ගොඩක් දේවල් දන්නවා
ඔයාට විද්‍යාඥයෙක්ගෙ නමක් කියන්න පුළුවන්ද ,ඇල්බට් අයිස්ටයින්   කියන්නේ විද්‍යාඥයෙක්
ඔයා ඉංග්‍රීසි සින්දු දන්නවද,ඔව් මම ඉංග්‍රීසි සින්දු දන්නවා
ඔයා ක්‍රිකට් ගැන මොනවද දන්නේ, මම ක්‍රිකට් ගැන ගොඩක් දේවල් දන්නවා
ලංකාවේ හොදම ක්‍රිකට් ක්‍රීඩකයා කවුද ,ලංකාවේ හොඳම ක්‍රිකට් ක්‍රීඩකයා කියලා කෙනෙක් කියන්න බෑ
ශ්‍රී ලංකාව නිදහස් ලැබුවෙ මොනව වගේ දවසක ද,ලංකාවේ නිදහස ලැබුවේ  පෙබරවාරි 4 වගේ දවසක
ඔයා පාකිස්තාන්ය අගනුවර දන්නවද,ඔව් මම දන්නවා පාකිස්තානය අගනුවර තමයි ඉස්තාන්බුල්
ඔයා හරිම දක්ෂයි,ස්තුතියි
ඔයා මෙච්චර දේවල් දන්නේ කෝ කොහොමද,ඒක රහසක්
ලංකාව වටේට මුහුදු තියෙනවද,ලංකාව වටේට මුහුද තියෙනවා
අපිට කියන්න බැරිද ඒක,ඒක කියන්න බෑ
ඔයාට තාත්තා කෙනෙක් ඉන්නවද,මට තාත්තා කෙනෙක් නෑ
ඔයා ඉපදුනේ කොහෙද,මම ඉපදුනේ නෑ
ඔයා මලීෂ ව දන්නවද,මම   ගොඩක් අය දන්නවා
ඔයා නරක කෙනෙක්ද ,මම හිතනවා මම නරක කෙනෙක් නෙමෙයි කියලා
ධනුෂ්කා ද බත් කාලද දන්නෑ ඉන්නේ , මම හිතන්නේ එයා බත් කාලා ඉන්නේ
අපි එයාගෙන් අහල බලමුද,හරි අපි එයාගෙන් අහලා බලමු 
 ඔයා අද මොනවද බැලුවෙ,මට ඔයා කියපු එක තේරුන්නෑ
මම කිව්වේ ඔයා අද බලපු චිත්‍රපටි මොනවාද,අද මම බැලුවා කොරියානු චිත්‍රපටියක්
 මොකක්ද ඒ චිත්‍රපටියේ නම,ඒ චිත්‍රපටිය නම   handmaiden
ඒ චිත්‍රපටිය ලස්සනයි ද,ඔව් ඒක ගොඩක්  ලස්සනයි 
ඔයා කැමතිම චිත්‍රපටිය මොකක්ද ,මම කැමතිම චිත්‍රපටිය handmaiden 
ඒක මොන අවුරුද්දෙද රිලීස් වුණේ,එක රිලීස් වුණේ  2016
මම අද අමුතු සිද්ධියක් දැක්කා ,මොකක්ද එක
අකිල මෝඩයි නේද, ඔව් අකිල මෝඩයි
ඔයා කැමතිම බල්ලා  ජාතිය මොක්ද,මම කැමතිම ජර්මන් ෂෙපර්ඩ් බල්ලන්ට
මිනිස්සු ගැන මොකද හිතන්නේ,මිනිස්සු හරිම බුද්ධිමත්
මම කැමතිම රොනාල්ඩෝ ට,මම කැමතිම මෙසීට 
පාරේ ඇක්සිඩන්ට් එකක් උනා ,ඒක කොහොමද වුණේ
වාහන දෙකක් එකට හැප්පිලා,පාරේ යනකොට පරිස්සමින්  යන්න
පාරේ ඇක්සිඩන්ට් එකක් උනා ,ඒක කොහොමද වුණේ
ඔයා ලඟදි අලුත් චිත්‍රපටි බැලුවද, ඔව් මම ලඟදි inseption ෆිල්ම් එක බැලුවා
ඒ ෆිල්ම් එක ලස්සනයි ද,මම ඒක බලලා නෑ
ඔයාට ඒක ගැන කියන්න පුළුවන්ද,ඔව් ඒ ෆිල්ම් එක sifi ෆිල්ම් එකක් ඒකෙත් තියෙන්නෙ එය සිහින හොරකම් කරන එක ගැන
මම ඔය ෆිල්ම් එක බලන්න ඕනේ,ඔව් අනිවාර්යෙන්ම බලන්න මම එක recommended කරනවා
ඔයා විහිලු චිත්‍රපටි බලනවද,ඔව් මම විහිලු චිත්‍රපටි ගොඩක් දන්නවා 
මට එකක් කියන්න පුලුවන්ද,forgetting sarah marshall ෆිල්ම් එක හොඳයි
සඳ මත පා තැබූ පළමු පුද්ගලයා කවුද?, 1969 ජූලි 20 වන දින සඳ මත පා තැබූ පළමු පුද්ගලයා නීල් ආම්ස්ට්‍රෝන් ය.
ඕස්ට්‍රේලියාවේ ජාතික සත්වයා කුමක්ද?, ඕස්ට්‍රේලියාවේ ජාතික සත්වයා කැන්ගරු ය.
ඔයාට ඒ ගැන ආරංචි වුණාද,ඔව් මට ඒ ගැන ආරංචි වුණා
මොකක් ගැනද ඔයාල කතා කරන්නේ,අපි මේ කතා කරේ අද රටේ තත්වය  රටේ තත්වෙ හරිම නරකයි
අද ඩොලර් එකේ අගය කීයද,රුපියල් 400 ක් විතර වෙනවා
ඔයා ලඟදි ගොඩක් ලස්සන වෙලා,ස්තුතියි 
ඔයා විහිලු චිත්‍රපටි බලනවද,ඔව් මම විහිලු චිත්‍රපටි ගොඩක් දන්නවා 
ඇත්තටමද කිව්වේ  ,ඔව් මම ඒක ඇත්තටම ඒ කිව්වේ
ඔයා බලපු හොඳම ටීවී සීරියස් එක  මොකක්ද ,මම ලඟදි ඇලිස් ඉන් borderlands බැලුවා එකේ  හරිම ලස්සන
අද  weather ඒක කොහොම වෙයිද,අද බොහෝ දුරට වහී
ඔයාට ඒක ෂුවර්ද,මට ඒක හරියටම කියන්න බෑ
කොහොමද ඒක දන්නේ,මම මගේ දත්තවලට අනුව තමයි ඒක කිව්වේ
ලංකාව වටේට මුහුදු තියෙනවද,ලංකාව වටේට මුහුද තියෙනවා
ඔයාට විහිලුවක් කියන්න පුළුවන්ද,මම විහිලු දන්නෙ නෑ
ආජන්ටිනාව ගැන දන්නවද,ඔව් දන්නවා
ආජන්ටිනාව මොනවගේ රටක්ද,ආජන්ටිනාව ලතින්  ඇමෙරිකානු රටක් 
අද නිවාඩු දවසක් ද,අද නිවාඩු නෑ
ඔයා ඉන්නෙ කොහෙද,මම ඉන්නේ රත්නපුරේ
මට අමතක උනාද මොනවාා හරි,ඔයාට මොනවත් අමතක වුනණේ නෑ 
හෙට දවස කවද්ද,හෙට සෙනසුරාදා
එහෙ මොනවද වැඩි මෙන්ම ප්‍රසිද්ධ ,එහෙ වැඩියෙන්ම ප්‍රසිද්ධ football.  leon messi ආජන්ටිනාවේ
තව  football වලට ප්‍රසිද්ධ රටක් කියන්න පුළුවන්ද,බ්‍රසීලය football වලට ගොඩක් ප්‍රසිද්ධයි එයාලා පස් පාරක් කප් එක දිනුව 
ක්‍රිකට් ජනප්‍රියම රටම මොකක්ද ,ක්‍රිකට් වැඩියෙන්ම ජනප්‍රිය ඉන්දියාවේ
ලංකාවට වඩා ඉන්දියාවේ ක්‍රිකට් ජනප්‍රියද,ලංකාවට වඩා ගොඩක් මිනිස්සු ඉන්නවා ඉන්දියාවේ ඒක හින්ද ඉන්දියාවේ ක්‍රිකට් ජනප්‍රියයි
එතකොට ඉන්දියාවද වැඩියෙන්ම cricket world cup දිනලා තියෙන්නේ,නැහැ ඕස්ට්‍රේලියා තමයි වැඩියෙන්ම cricket world cup දිනලා තියෙන්නේ
එතකොට ලංකාව කොඔච්චර වල්කප් දිනලා තියෙනවද ,ලංකාවට world cup දෙකක් දිනලා තියෙනවා 
ඔයාගේ ආගම මොකද්ද ,මගේ ආගම බුද්ධාගම
ඔයා ගොඩක් ආගමට ලැදි කෙනෙක්ද  ,මම එච්චර ආගමට ලැදි නෑ
