Question,Answer
දරුවෝ මොකද දැන් කරන්නේ ,ඉංජිනේරුවෙක්
  දරුවෝ මොකද කරන්නේ ,එක්කෙනෙක් ගුරුවරයෙක්
 ඔයාට දුර දුරකථනයක් තියෙනවද, ඔව් මට දුර දුරකථනයක්  තියනව
 ඔයාගේ අම්මා මොකද ,මගේ අම්මා නීතිඥ නීතිඥවරියක්
 ඔයාලට කඩේයක් තියනවද,ඔව් අපිට කඩයක් තියෙනවා 
ඒකෙ මොනවද විකුනන්නෙ,අපි එකේ එදිනෙදා අවශ්‍ය කරන බඩු විකුණනවා 
  ඔයාලා ඉන්නේ කොහෙද, අපි ඉන්නේ නුවර
 නුවර කොහෙද ,පේරාදෙණිය කිට්ටුව 
ඔයාගේ ගම මොකක්ද,ගන්නෝරුව 
ඔයාගේ ගම මොකක්ද,මාකඳුර 
ඔයාගේ ගම මොකක්ද,ගාල්ල 
ඔයාගේ ගම මොකක්ද,උණවටුන 
ඔයාගේ ගම මොකක්ද,පන්නල 
ඔයාගේ ගම මොකක්ද,දෙහිදෙණිය 
ඔයාගේ ගම මොකක්ද,නත්තරම්පොත
ඔයාගේ ගම මොකක්ද,ගිරිඋල්ල 
 ඔයා කොහෙද ,මම ලංකාවේ
 ඔයා කොහෙද ,මම ඉන්දියාවේ
 ඔයා කොහෙද ,මම පාකිස්තානය
 ඔයා කොහෙද ,   මම කොළඹ
 ඔයා කොහෙද ,මම නුවර
 ඔයා කොහෙද , මම නුවරඑළියෙ
 ඔයා කොහෙද , මම ගාල්ලේ
 ඔයා කොහෙද , මම මඩ මඩකලපුවේ
 ඔයා කොහෙද ,මම සයිබීරියාවේ
 ඔයා මට බැන්නා ද,  නෑ මම බැන්නේ නෑ
 මොනාද ශානිකා කිව්වෙ, මට බැන්නා කියලා
 ඔයාට බැන්නා කියලා  ,ඔව් මට බැන්නා කියලා
ඔයා කොහොමද මේක හදා ගත්තෙ, අපේ නංගිට කියලා හදාගත්තේ
නංගිට මේ ගණන් පුලුවන්ද,  ඔව් ඔයාට හොඳට ගණන් හදන්න ප් පුළුවන් 
   ඔයාලා ගෙදර අක්කට බලු පැටියෙක් ඉන්නවද,ඔව් චූටි බලු පැටියෙක් ඉන්නවා
ඔයාගේ   නම  මොකක්ද, එයාගේ නම චූටි 
 එයා හරි හුරතල් ද, ඔව් එයා හරි හුරතල්
  මාස කීයද , එයාට තාම අවුරුදු දෙකයි 
 ඔයාගේ නම් මොකද්ද,අසිත
 ඔයාගේ නම් මොකද්ද,සසිත් 
 ඔයාගේ නම් මොකද්ද,සස්මික 
 ඔයාගේ නම් මොකද්ද,රශ්මික 
 ඔයාගේ නම් මොකද්ද,චාමර 
 ඔයාගේ නම් මොකද්ද,ශාන්තිනි 
 ඔයාගේ නම් මොකද්ද,චාමරි 
 ඔයාගේ නම් මොකද්ද,ශාන්ති 
 ඔයාගේ නම් මොකද්ද,ඉෂාරා 
 ඔයාගේ නම් මොකද්ද,සාන්ත 
 ඔයාගේ නම් මොකද්ද,හසිනි 
 ඔයාගේ නම් මොකද්ද,සුමන 
 ඔයාගේ නම් මොකද්ද,ඉෂාරා 
 ඔයාගේ නම් මොකද්ද,හසන්ත 
 ඔයාගේ නම් මොකද්ද,අසිත
 ඔයාගේ නම් මොකද්ද,සුසන්ත 
ඔයා කොහෙද යන්නෙ,මම රැස්වීම්ට යනවා
ඔයා කොහෙද යන්නෙ,මම රැස්වීම්ට යනවා
ඔයා කොහෙද යන්නෙ, මම පාසල් යනවා
ඔයා කොහෙද යන්නෙ,මම පන්ති යනවා 
ඔයා කොහෙද යන්නෙ, මම ආපනශාලාවට යනවා
ඔයා කොහෙද යන්නෙ,  මම කන්න යනවා
ඔයා කොහෙද යන්නෙ,  මම පන්සල් යනවා 
ඔයා කොහෙද යන්නෙ, මම ඇවිදින්න යනවා
ඔයා කොහෙද යන්නෙ, මම දුවන්න යනවා 
ඔයා කොහෙද යන්නෙ,මම බොන්න යනවා
ඔයා කොහෙද යන්නෙ, මම ඇවිදල එන්නම්
ඔයා කොහෙද යන්නෙ, මම කාලා එන්නම් 
ඔයා කොහෙද යන්නෙ,මම අක්කලා දිහාට යනවා
ඔයා කොහෙද යන්නෙ,මම නාලා එන්නම්
ඔයා කොහෙද යන්නෙ,  මම නැන්දලා දිහාට යනවා
ඔයා කොහෙද යන්නෙ,මම සීයලා දිහාට යනවා
ඔයා කොහෙද යන්නෙ,මම පුංචිලා දිහාට යනවා
ඔයා කොහෙද යන්නෙ, මම  විහාරයට යනවා
ඔයා කොහෙද යන්නෙ,මම කෝවිල්ට යනවා
ඔයා කොහෙද යන්නෙ,   මම පල්ලියට යනවා 
ඇය ලියුම ලියනවද,ඔව් ඇය ලියුම් ලියනවා
ඔබ සියලු දෙනා පැමිණෙන්නේ කවදාද,හෙට
ඔබ සියලු දෙනා පැමිණෙන්නේ කවදාද,අනිද්දා
ඔබ සියලු දෙනා පැමිණෙන්නේ කවදාද, ජුනි තුන්වෙනිදා
ඔබ සියලු දෙනා පැමිණෙන්නේ කවදාද, ජූනි දෙවෙනිදා
ඔබ සියලු දෙනා පැමිණෙන්නේ කවදාද,ජුනි 4
ඔබ සියලු දෙනා පැමිණෙන්නේ කවදාද,දෙසැම්බර් 12 
ඔයා එන්නේ කවද්ද,අප්‍රේල්  3 
ඔයා එන්නේ කවද්ද,අගෝස්තු 10 
ඔයා එන්නේ කවද්ද,දෙසැම්බර් 9 
ඔයා එන්නේ කවද්ද,ජුනි හය
ඔයා එන්නේ කවද්ද,දෙසැම්බර් 13
අම්මා එන්නේ කවද්ද ,දෙසැම්බර් 11
අම්මා එන්නේ කවද්ද ,සමහරවිට හෙට 
අම්මා එන්නේ කවද්ද ,දෙසැම්බර් 10 
අම්මා එන්නේ කවද්ද ,අනිද්දා එයි
අම්මා එන්නේ කවද්ද ,අඟහරුවාදා 
අම්මා එන්නේ කවද්ද ,එයි අම්මා ගෙදර ඉන්නේ නෑ
අම්මා එන්නේ කවද්ද , තාත්තා අනිද්දට
අම්මා එන්නේ කවද්ද , හෙට  එයි
තාත්තා එන්නේ කවදාද, තාත්තා අනිද්දට ඒවි
තාත්තා එන්නේ කවදාද,පෙබරවාරි 12 ගෙ ගෙදර එයි 
තාත්තා එන්නේ කවදාද, බදාදා 
තාත්තා එන්නේ කවදාද, තාත්තා හෙට එන්නේේ නැති  වේවි
තාත්තා එන්නේ කවදාද,සඳුදා 
තාත්තා එන්නේ කවදාද, තාත්තා ජනවාරි එක ගෙදර එයි 
තාත්තා එන්නේ කවදාද,තාත්තා පෙබරවාරි 22 ගෙදර  එයි
තාත්තා එන්නේ කවදාද,තාත්තා හෙට ඒවි 
තාත්තා එන්නේ කවදාද, හෙට එන්නේ නැති වේවි
ඔයා හෙට කොහෙද යන්නෙ , මම නුවර යනවා
කීයටද යන්නේ,  2දෙක හමාර වෙනකොට මං ඇවිල්ලා ඇති
ඔයා මොන බස් එකේද යන්නේ , ගාල්ල බස් එකේ ඉන්නේ
නුවරට යද්දි න් කීය වෙයිද , 01:30 වෙන්කොට අපි එනවා
ඔයාට පාටි එකට ඒ ගොල්ලන්  ආරාධනා කරාද ,ඔව් අපිට ආරාධනා කළා
 ඔයාට ආරාධනා කළාද , නෑ අපිට ආරාධනා කරල නෑ
ඔයා පොත් කොහෙන්ද තිබ්බේ ,පුස්තකාලයෙන් මම පොත තියලා ආවේ
 ඒක දැන් එතන තියෙන්නේ තියනවද , මම දන්නෙ නෑ
ඔයා බත් කෑවද ඔව් මම බත් කෑවා, මං බත් කෑවේ නෑ 
 ඔයා බිස්කට් කෑවද , මම බිස්කට් කෑවෙ නෑ
ඔයාගේ ගෙදර එනකොට මොනවද ගෙනාවේ ,මං මුකුත් ගෙනාවේ නෑ
අම්මා කෝ කොහෙද ගියේ,මම දන්නෙ නෑ
   තාත්තා කොහෙද ගියේ,තාත්තා වැඩට ගියා 
 තාත්තා වැඩට ගියා ද  ,මා තාත්තා ගෙදර ඇති
ඔයා කොහෙද යන්නෙ,මම ගමන්ක් යනවා
 ඔයා දවල්ට කාලද ඉන්නේ ,අනේ නෑ මට කන්ඩ බැරි වුණා
  ඔයා මොනවද හවසට කෑවෙ,  බිස්කට් කමු
ඔයා රෑට මොනවද කන්න හිතන් ඉන්නේ , බත් කන්න හිතාගෙන ඉන්නේ
ඔයාට කොහොමද,  දැන් නම් ටිකක් සනීපයි
 ඔයා කාලද ඉන්නේ, ඔව් මම කාලා ඉන්නේ
උදේට මොම ද කෑවේ ,මස් සහ බිත්තර
ඔයා හෙට කොහෙද යන්නෙ , මම හෙට පන්ති යනවා
කීයටද යන්නේ, උදේ 8:30 ට වගේ
ඔයා මොන බස් එකේද යන්නේ , යාපනය බස් එකේ
නුවරට යද්දි න් කීය වෙයිද , 03:30 විතර වෙයි
ඔයාට පාටි එකට ඒ ගොල්ලන්  ආරාධනා කරාද , නෑ අපිට ආරාධනා කළේ නෑ එයාලා
 ඔයාට ආරාධනා කළාද , අපේ මල්ලිට ආරාධනා කළා
ඔයා පොත් කොහෙන්ද තිබ්බේ ,ඔයාගේ මේසෙ උඩ තියල ඇති
 ඒක දැන් එතන තියෙන්නේ තියනවද ,මං හිතන්නේ ඔව් ඒක එතන තියනවා 
ඔයා බත් කෑවද ,නෑ මම පාන් කෑවෙේ
 ඔයා බිස්කට් කෑවද ,නෑ මම චොකලට් කෑවා
ඔයාගේ ගෙදර එනකොට මොනවද ගෙනාවේ ,රුපියල්   පන්දහසක බඩු ඇර අරගෙන ආවා
අම්මා කෝ කොහෙද ගියේ,මම හිතන්නේ පොලට ගිහිල්ලා
ඔයා ඇඳුම් මැදලා ඉවරද,  ඔව් මම ඇඳුම් මැදලා ඉවරයි
ඇයි ඔයා ඒක මගෙන් ඇහුවේ,  මටත් ඇදුම් අදින්න තියෙනවා ඒකයි
 ඔයා කොහේ යන්නද යන්නේ,මම නගරෙට ගිහිං එන්න කියලා 
ඔයා කොහෙද යන්නෙ,මම කෝවිල් ටයන්න කියලා
ඔයා මගේ කමිසේ දැක්කද ,නෑ මම දැක්කේ නෑ 
 ඒක වැලේ තිබ්බ නේද,ඔව් වේලෙන්න දාලා තිබුණෙ
 ඇයි ඒක දැන් නැද්ද, අනේ මන්දා තිබ්බ තැන්ක් හොයා ගන්න බැහැනේ
 ඔයා බල්ලාට  ගැහුවාද, නෑ මම ගැහුවෙ නැහැ
ඇයි එහෙම අහන්නේ , බල්ලා  කෑ ගහනවා ඇහුනා
එයා හැම වෙලේම පාරට යනවනේ ද ,ඔව් ඔව් බැලුවොත් පාරෙමයි ඉන්නේ
 කවුරුහරි බල්ලාට ගැහුව වත්ද ,වෙන්න  පුළුවන් 
වාහනයක්වත් හපාගෙන ගියාද දන්නේ නැහැ නේද ,ඔව් ඒකත් වෙන්නේ  පුළුවන් 
 පොඩ්ඩක් ගිහිල්ලා බලානවද, හා මම ගිහින් බලන්නම් ඔයා ඔය වැඩේ කරන්නකෝ
ඔයාගේ රට කොහෙද, මගෙ රනේ රට එංගලන්තය
 ඔයා ඉන්නේ කොහෙද ,මම ඉන්නේ ගමේ 
ගමේ කිව්වේ, මම ඉන්නේ ඉදල්ගස්හින්න 
එහෙට කොහොමද ඔයා යන්නේ, මම යන්න දුම්රියේ 
පොඩි කාලේ ඉදන් දුම්රියෙන් ද ගියේ, ඔව් මට හුරුයි දුම්රිය
 ඔයා වෙන වාහන පාවිච්චි කරන්නෙ නැද්ද ,ඇත්තටම නැහැ
ඒක ලේසි ද,ඔව් ඇත්තටම එක ලේසියි
කෝච්චි හරි වෙලාවට වැඩ කරනවා නම් ලොකු අවුලක් නෑ නේද,ඔව් එහෙම ලොකු අවුලක් නැහැ  
 මගේ පොත් ඔයා දැක්කද, ඔව් ඒක එළිය තිබ්බා 
කොහේ හරි තිබ්බේ ,එළියෙ මේසෙ උඩ තිබ්බේ
ඔයාට ඒක තිබ්බ තැන්ක් මතක නැද්ද, අනේ මට තිබ්බේ තැනක් මතක නෑනේ 
   අම්මා කඩේට ගියාද ,ඔව් අම්මා කඩේට ගියා  
අයියා ගෙදර එයිද, මම හිතන්නේ දැන්ම එන්නේ නැති වෙයි
  එයාට ද රෑ වෙනකන් වැඩද, ඔව් කිව්වේ විදිහට නම් වැඩ
 ඔයා කොහෙද වැඩ කරන්නේ, කොළඹ 
ගොඩක් ඉඳන් වැඩ කරනවද ,අවුරුදු පහක විතර ඉඳන් වැඩ කරනවා 
ගෙදර එන්නේ මේ නැද්ද , කලාතුරකින් ගෙදර එනවා
ඔයා කවද්ද ගෙදර යන්න හිතා හිතාගෙන ඉන්නේ, මම දවස් දෙකකින් ගෙ ගෙදර යනවා
ඔයත් එනවද මාත් එක්ක යන්න,එන්නම් 
ඔයා කොහෙට යනකල් යනවද, මම මොරටුවට යනකල් යනවා
  එතනින් පස්සේ ඔයා කොහොමද යන්නෙ,    මම කෝච්චිය යන්නම්
ඔය අලුතින් ෆෝන් එක්ක් ගත්තා ද,ඔව් දැන් මාස දෙකක් විතර ඇති
කොහෙන්ද ගත්තෙ ,මේක රට  ඉඳන් අයියා එව්වෙ
කීයක් විතර වෙන්න ඇතිද,රුපියල් දහදාහක් විතර වෙන්නඇති
 ලොකු ගානක් නෙවෙයි නේද , ඔව් මෙහෙට වඩා එහෙ ගණන් අඩුයි ගොඩක්
ඔයා හෙට හරි ගමන යන්න එනවද, මට බෑ
ඇයි බෑ කියන්නෙ,කැමැති නෑ
ඇයි කැමති නැත්තෙ, මං ඔයාගෙ යාලුවන්ට ආසාවක්  නෑ
යාළුවන්ගෙන් වැඩක් නැහැනෙ මං එක්ක යන්නේ නැද්ද ,මට බෑ
 ඔයා මොනවද කන්නෙ, ඔයා මොනවද කන්නෙ
questions,answers
weh oeka fudlo lrkafk,thd oeka /lshdjla lrkjd
"wms wo uqyq¥ fjr,g huqo",yd huq
fudkdo oeka lkafk,wms f;dafi luqo
fudfld lrkafk Thd,uu mdvï lrkjd
"Thd úNd.hg ,Eia;so",;du kE
Thdf. wïud fudlo lrkafk,weh .Dykshla
Thdg ifydaorfhd lSfofkla bkakjo,;=kafofkla bkakjd
ශ්‍රී ලංකාවේ ජාතික ක්‍රීඩාව කුමක්ද,වොලිබෝල්
ශ්‍රී ලංකාවේ අගනුවර කුමක්ද,ශ්‍රී ජයවර්ධනපුර කෝට්ටේ
ඔබේ ප්‍රියතම ක්‍රිකට් ක්‍රීඩකයා කවුද,සංගක්කාර
පෙනිසිලින් සොයාගත්තේ කවුද,ඇලෙක්සැන්ඩර් ෆ්ලෙමින්
ඔබට කෙසේද,මම සනීපෙන්
වැඩිම චන්ද්‍රයන් ඇති ග්‍රහලෝකය කුමක්ද,සෙනසුරු
ඔබේ පියා කවුද,ඔහු වඩු කාර්මිකයෙකි
ඔබ මට ආදරෙයි ද,නැහැ මට සමාවෙන්න
අපි සිනමා ශාලාවට යමුද,හරි අපි යමු
ආවර්තිතා වගුවේ මූලද්‍රව්‍ය කීයක් තිබේද,118
ඇයි ඔයා මාත් එක්ක කතා කරන්නේ නැත්තේ,මම දුකෙන් පෙළෙනවා
Google Pixel දුරකථනයක් භාවිතා කරන්නේ කුමන මෙහෙයුම් පද්ධතියද,ඇන්ඩ්රොයිඩ්
කවුද ලංකාවේ ජනාධිපති,ගෝඨාභය රාජපක්ෂ
ප්‍රභාසංස්ලේෂණය සිදු කරන ශාකයක කුමන කොටසද,Ydl m;%
ඔහු ඔබේ මිතුරෙක්ද,"ඔව්, ඔහු මගේ හොඳම මිතුරා"
ඔයාට මට උදව් කළ හැකි ද,ඔව් ඇත්ත වශයෙන්ම
ඔබ කෝපි ටිකක් බොන්න කැමතිද,ඔව් මම කැමතියි
ඔබට රැකියාවක් තිබේද,නෑ තවම නෑ
Microsoft XP මෙහෙයුම් පද්ධතිය නිකුත් කරන ලද්දේ කුමන වසරේද,2001
"Thd úNd.hg ,Eia;so","Tõ uu ,Eia;s "
ඔබට රැකියාවක් සොයා ගැනීමට උදව් කළ හැකිද,"ඔව්, ඔබේ සුදුසුකම් මොනවාද"
ඔබ අවසාන විභාගය සමත් වුනාද,ඔව් සමත්
ඔබ සංචාරය කිරීමට කැමති කොහේද,වෙරළ පැත්තේ
ඔබ උදේ ආහාරය ගත්තද,ඔව් මම ගත්තා
ඔබ වැනිලා අයිස්ක්‍රීම් කන්න කැමතිද,නෑ මම චොකලට් වලට කැමතියි
ඔයාට සුරතලෙක් ඉන්නවද,ඔව් මට බල්ලෝ 02ක් ඉන්නවා
ඔබේ විනෝදාංශය කුමක්ද,රුපවාහිනිය kerîu
ඔබ විවාහ වුණාද,නෑ තවම නෑ
ඔබට ළමයින් සිටිනවා ද,ඔව් මට එක පුතෙක් සහ දුවලා දෙන්නෙක් ඉන්නවා
ඔබ කැමතිම විදේශ රට කුමක්ද,ජපානය
සතියකට දින කීයක් තිබේද,දින 7 යි
ඉංග්‍රීසි හෝඩියේ අකුරු කීයක් තිබේද,අකුරු 26 යි
දේදුන්න වර්ණ කීයකින් සමන්විත වේ,වර්ණ 7 යි
ලෝකයේ විශාලතම මහාද්වීපය කුමක්ද,ආසියාව
අවුරුද්දකට දින කීයක් තිබේද,දින 365 යි
වසරේ කුඩාම මාසය කුමක්ද,පෙබරවාරි
ඉර පායනවා.....,නැගෙනහිßka
ත්‍රිකෝණයක පැති කීයක් තිබේද,තුනhs
ලෝකයේ සාගර fudkjdo,"අත්ලාන්තික්, පැසිෆික්, ඉන්දියානු, ආක්ටික් සහ දකුණු (ඇන්ටාක්ටික්) සාගර."
පෘථිවියේ දිගම ගංගාව කුමක්ද,නයිල්
ඔබව දැකීම සතුටක්,ug;a
ඔබට කෙසේද,නරක නැහැ මම හොඳින්
මම ඔබව දින කිහිපයකින් දුටුවේ නැත,මම පන්ති එක්ක ගොඩක් කාර්යබහුලයි
මොනවද ඔබගේ අළුත් තොරතුරු,වැඩි දෙයක් නැහැ
ඔබට ලානා මතකද,ඔව් ඇය ඉන්නවා
ඔයා ඒ පුංචි පුංචි බල්ලට බය නෑ නේද,kE
අපි දෙන්නම හොඳ සාප්පු සවාරිhla huqo,ඔව් මම කැමතියි
මේ ඔබේ බල්ලාද,"ඔව්, මේ රෙක්ස්."
ඔහු කුමන වර්ගයේ බල්ලෙක්ද,W! පග්
ඇත්තටම එයා කවදාවත් මට ඇහුම්කන් දෙන්නේ keoao,නෑ
ඔහුg කොපමණ කාලයක් තිබේද,udi 02
බළලුන්ට කැමති නැද්ද,මම බළලුන්ට අකමැති බව නොවේ. නමුත් මම මගේ පූසාට කැමති නැහැ
ඒ ඇයි,W! තරමla ආක්‍රමණශීලී
ඔබ මෙහි පැමිණියාද,ඔව් අපි ගිය සතියේ ආවා
ඔබ එයට කැමති වන්නේ කෙසේද,එය සිත් ඇදගන්නා සුළුයි
ඔබ ඔබේ බිරිඳ සමඟ මෙහි පදිංචියට ගියාද,ඇත්තටම මම විවාහක නැහැ මම මගේ බල්ලා චාල්ස් සමඟ මෙහි පදිංචියට ගිhd
ඔබ ගැන කුමක් කිව හැකිද,මම විවාහකයි මට දරුවන් දෙදෙනෙකු සිටිනවා
ඔවුන්ගේ වයස කීයද,වයස අවුරුදු 6 සහ 8
ඔබ උදේ ආහාරය ගත්තද,නෑ තවම නෑ
ඔබ ඔබේ නිවාඩුවට ඔබේ නැන්දම්මා බැලීමට යනවාද,ඔව්
ඇයි ඔබේ බිරිඳ .sfha නැත්තේ,ඇත්තටම ගොඩක් කාර්යබහුලයි
ඔබ විවාහ වුණාද,ඔව් පසුගිය මාසයේ
Game of Thrones අවසානh බැලුවද,ඔව් බැලුවd
දැන් සීසන් එක ඉවර නිසා මට අලුත් දෙයක් බලන්න ඕන,Wu-Tang
එය වාර්තා චිත්‍රපටයක්ද,නෑ ඒක නාට්‍යයක් නමුත් එය සැබෑ ජීවිතය මත පදනම්
ඔබ වැනිලා අයිස්ක්‍රීම් කන්න කැමතිද,ඔව් මම කැමතියි
මේ වසරේ ඔබේ ප්‍රියතම රූපවාහිනී වැඩසටහන කුමක්ද,රොබෝ මහත්මයා
අද රාත්‍රියේ ඔබේ සැලසුම කුමක්ද,සැලසුමක් නැහැ මම හිතන්නේ මම ගෙදර විවේක ගන්නවා
ඔබට සිනමා ශාලාවට යාමට අවශ්‍යද,හ්ම්ම්
කුමණ වේලාවෙ ද? මොන චිත්රපටියද,සමහර විට 7 හෝ 8 ට? එය අලුත් අයන් මෑන් චිත්‍රපටයයි
ඒ මොකක් ගැනද,එය ප්‍රජාතන්ත්‍රවාදය පිළිබඳ ආර්ථික විද්‍යා පත්‍රිකාවකි
ඔයා මොකද කරන්නේ,වැඩ අවසන් කළා
ඔබ කොහෙද ඉගෙන ගන්නේ,"මම කැනඩාවට යාමට සැලසුම් ක,d"
ඔබ උද්යෝගිමත්ද,ඉතා උද්යෝගිමත්
ඔබ ඉගෙන ගන්නේ කුමක් ද,ඔයාට මතකද මම ඔයාට කිව්වා මට පුවත්පත් කලාව ඉගෙන ගන්න ඕන කියලා
ඔබ කොහෙද,දුම්රිය ස්ථානයේ
ඔබ නිවසේ සිටිනු ඇතැයි ඔබ සිතන්නේ කීයටද,සමහරවිට පැයකින් පමණ
ඔයාගේ දවස කොහොම ද ගෙවුණේ,මම පරිගණකයේ පැය කිහිපයක් වැඩ කළා
ඔබ දරුවන් රැගෙන යාමට නියමිත වේලාවට නැවත පැමිණෙනවාද,මම හිතන්නේ නැහැ
ඔබට ඒවා ලබා ගත හැකිද,ප්‍රශ්නයක් නැහැ
රාත්‍රී ආහාරය සඳහා කුමක් ද,කුකුළු මස්
6.30 ට පමණ හමුවෙමුද,මම බලාපොරොත්තු වෙනවා
මොනතරම් ලස්සන චිත්‍රයක්ද,මම පසුගිය වසරේ පින්තාරු කිරීමට ඉගෙන ගත්තා
ඔබ එය කළාද,හ්ම්ම්
කාලගුණය කොහොමද,එය ඉතා සීතලයි. නමුත් මම හිම වලට කැමති
