0,1
තනි රෑල් පොත් තියෙනවද?,ඉවරයි
ඔයාගෙ උපන්දිනය කවදාද?,මේ මාසයේ අඟහරුවාදා 
තොටිල්ල පද්දන්නෙ ඇයි?,නිදන්න
ඇයි මේම කරගත්තෙ ?,කොහොමද?
මේ මාසේ දින කීයද,තිස් එකයි
ඔයා බාටා දානවද?,ඔව්
තෙල් ටික රත් කලාද පුතේ ? ,ඔව් රත්කලා අම්මේ
ප්ලේන් එක ක්වාලාලාම්පූර් වලටනෙ පිටත් උනේ නේද?,ඔව් ඔව් 
කාමරෙන් පිටත ශීතලද?,ඔවි.ගොඩක්
බ්‍රහස්පතින්දා ද?,"ඔව්
"
ඇෆ්ගනිස්ථානයේ භාවිතා කරන මුදල් වර්ය වන්නේ?,ඇෆ්ගනි
ඔයාට පුලුවන් නේද ගේන්න ,ඔව් පුලුවන් සල්ලි දෙන්න මට
කෝ මෙතන තිබ්බ පොත,මම ගත්තෙ නෑ
ඔයා ගිරවු ඇතිකරනවද?,ඔව් මම ඇතිකරනවා
වරදක් කරාද?,නෑ 
කදුලු ගෑස් ගහන්න එපා කියනවා නේද?,අපිට ණ ලැබිලා තියෙන්නෙ ගහන්න කියලා
ඇයි පාරෙ ඉඩ මදි?,වාහන මාරු වෙන්න අමාරුයි
මුරකරුවන් කැඳෙව්වද?,එසේය
ඇහුලුවද?,ඔව් ඇහුලුවා
ඒක තියෙන්නේ කොළඹද?,ඒක තියෙන්නේ කොළඹ .
මොකද්ද ඒ ,පොඩි ප්‍රශ්නයක්
කළු පෑන භාවිතා කරන්න?,නිල් පෑනක් නැද්ද
රසස්වාදය කරන්න පුළුවන්ද?,පුළුවන්
හෝම්වර්ක්ස් කරාද,තව ටිකක් තියෙනවා
ඔයාද මේ සත්කාර කරන්නා,නැ
අවුරුදු කාලෙට හාදෙන පලතුර කුමක්ද ?,කජු පුහුලන්
හොදටම ඇති නේද?,හොදටම ඇති.
දරුවට වයස කීයද,දෙකයි
එ මැඩම් හටි ලස්සනයි නේද,ඔව් ලස්සනයි 
ඔයාගෙ අරමුන ඔයාට අමතක නැ නේද?,නැ මතකයි 
අන්ධ භක්තියක්ද?,ඔව්
විසඳනවද?,විසදන්නම්
මම කොහොමද එච්චර කාලයක් ඉවසන්නේ?,එය ඔබට භාරයි.
ඔයාගෙ හුරතල් සතා කවුද? ,පූසා
ඔයාගෙ සුරතලා කවුද ?,බ්‍රවුන්
පාර කැඩිලා ,වලවල්  ගොඩයි
ඇයි ලැජ්ජ?,ලැජ්ජයි ඉතින්
යාළුවන්ගෙන් වැඩක් නැහැනෙ මං එක්ක යන්නේ නැද්ද ,මට බෑ
ඔයා කැමතිම වාහනය මොකක්ද ,කාර් එක
වට්ස්සැප් ‍යාවත්කාලීන කරලද?,ඔව්
ඉන්වොයිසිය කොහෙද දැම්මේ,මෙතන තියලනෙ
ඔයා සතුටින් ජිවත්වෙන්න කැමතිද?,ඔව් මම සතුටින් ඉන්න ආසයි
ගුරුවරු සෑහීමට පත් වුනාද?,උනා
ඒක වෙන්නෙ කොහොමද?,කොහෙම හරි උණා
විදේශ මාධ්‍ය කොහොමද මේ දේවල් දන්නේ?,ආරංචි මාර්ග තියෙනවා ඇත්තේ.
විද්‍යාගාරයට යමුද?,යමු
ඔයා කෑම එකක් ගෙනාවා නේද?,ඔව් ගෙනාවා
බබාට කතා කරන්න පුලුවන්ද?,ඔව්
ඔයා ඒ සංවිධානයට හතුරෙක් උනා නේද,ඔව්
 ඔයා දවල්ට කාලද ඉන්නේ ,ඔව් මං දවල්ට කාලා ඉන්නේ
පිගන් ටික සේදුව ද,ඔවි ඔක්කොම සේඳුවා
ඔව් අපිට ගොඩක් වෙලා බස් එකක් එනකන් ඉන්න උනා නේද,ඔව් නේ
ආදරේ බොරුවක්ද?,මුලාවක්.
රටම අනතුරේ දාලා මේ මනුස්සයා පිටරට යන එක හරිද?,වැරදි 
අර්ධකාලීන රැකියා ගැන අහලා තියනවද?,ඔව්
ඔයා ඕක හොරෙන්ද තියන් ඉන්නේ,ඔව්හොරෙන්.
අද දවස ඉක්මනින් ගතවුනා.,ඔවු.
අඩි කීයක් දිගද,දහයක් විතර
සංවිදානය සමග කතා කරන්නේ කව්ද?,මගෙ නියෝජිතයා
මට මෙක දැන් ඇති වෙලා,එය අතහරින්න
ඔබ යාලුවන් සමග ඇවිදින්න යන්න කැමති ද? ,ඔව් 
අද සිකුරාදාද?,නෑ ඉරිදා
ඔයාට තුවාලද?,තුවාල නම් නැහැ
වැඩ ඉවර නැද්ද,අදට ඉවරයි
ලොව මාධ්‍ය නිදහස අඩුම රට -,උතුරු කොරියාව
fudkdo òk,"ug fi,a,ï lrkak òk"
මාළු  වෙළෙන්දා ආවද?,ආවා
හෙටත් සෙල්ලමටෙ එනවද,එන්නම්.
සර් මං ඇතුළට එන්නද? ,එන්න 
ඔයාව නිතරම සතුටින් තියන්නේ කවුද?,සුරතල් සතුන් 
මේ මල් පූජා කරනවාද?,නෑ ඕවා පූජා කරන් නෑ
විදුලිය තියනවද?,විදුලිය නෑ.
වනාන්තර විනාශ කිරීමෙන් පරිසර විනාශයක් සිදු වේද?,ඔව්
ඔයා ආසම මල මොකද්ද?,රෝස මල
මොනවද ඔයා කියන්නේ?,මොකුත් නෑ
මට ඒකේ සේයාවක්වත් පෙන්නෙ නෑනේ?,පේන් නෑ
ඉස්සරලා බයික්කෙට නැගලා සතාව ගත්තොත් මොකද?,එහෙම කරන්නම්
ඔයාගෙ එක ඇහැයිද පේන්නේ?,ඔව් එකයි 
බෙහෙත් බොන්නෙ නැද්ද,ඒවා තිත්තයි
මේ ඇදුම ලස්සනයි ද?,ඔව් ගොඩක් ලස්සනයි 
ඔබ  සේවය කරන්නේ කොහේද ?,නගර සභහවේ
මට පාඩුවෙ ඉන්න දෙනවද,හරි දෙන්නම්
ඉන්දියාවේ ධනවත්ම පුද්ගලයා ලෙස සැලකෙන්නේ - ,මුකේෂ් අම්බානි
ඔයා කාත් එක්කහරි ගහගෙන තියද?,නෑ එහෙම කරලා නෑ
ඕනම කොන්දේසියකට කැමතිද?,ඕනම කොන්දේසියකට මම කැමතියි.
අම්මාගේ රැකියාව කුමක්ද?,ගෘහණියක් ඇය
මෙකෙ අවසානට මොකද්ද හිතෙන්නෙ ඔයාට,ගොඩක් හොදයි 
 ඔයා ඉන්නේ කොහෙද ,මම ඉන්නේ ගමේ 
ඔයා කවද්ද මුලින්ම පැලයක් සිටෙව්වේ?,මතකයන් නෑ මම පැල කොහොමත් හිටවනවා
පත්තරයක් ගන්නවද,ගත්තා
අද සෙනසුරාදාද?,නැ.අද සිකුරාදා.
කවුද මට වඩා ඔයාට වැදගත් වෙන්නේ?,මට මගේ යාලුවා වැදගත්
ඔයා එක හොරකම් කරා නේද?,නෑ නෑ
කඩේ වහලද,ඔව්
කාර් එක නවත්තලා තියේන්නේ කොහෙද,පාර එහා පැත්තේ
ඇයි ඔහු ගියේ?,ඔබ හා අමනාපයක් නිසා
ඒක තිබ්බද? ,නෑ 
ඔක්සිජන් නොමැතිව දර රත් කිරීමෙන් නිපදවන ඉවුම් පිහුම් ඉන්ධන මොනවාද?,අඟුරු
ඔයා මේකට කොච්චර කාලයක් දෙනවද?,සතියක් 
 මේ ටිකේ කන්න ආස දෙයක් තියනවනම් පුතාට කියන්න.තේරුනාද ?,හරි කියන්නම්
හරක් ඇයි තණකොළ කන්නේ?,එයාලගෙ කෑම නිසා
මොකටද ඔයා ඔව් කිව්වේ?,ඔයා ඇහුව දේට
කට්ටඩියෝ දරුණුයිද?,සමහරු
දරුවා කාගෙද?,අපි දෙන්නගෙ
මේ මුසිකය කාගේද?,අයියාගේ
අයි ඔයාට එයා බැන්නේ?,දන්නෙ නෑ 
එයා නැති දාක අපි කොහොමද ජීවත්වෙන්නෙ ?,එගැන හිතන්නවත් බැ
දැන් දත් මදිමුද ?,අතුරුපස කාලම ඉමු
වාහනේ දැම්මේ පිටිපස්සෙද?,ඔව්.පිටිපස්සේ.
ඇත්තටම අනේ හාවෙක් ඉන්නවද?,නෑ
පත්වීමක් ඉල්ලුවද?,ඉල්ලුවා
අරගල කරුවන් සැබෑ වීරයෝද?,නෑ
ඔයා ඔයාගෙ වගකීම් ඉටු කරනවද,ඔව් මංඉටුකරනවා
ඇයි වැඩ නොකලේ?,සෙවකයෝ ආවෙ නැහැ
භාරකරු කවුද?,අම්මා.
පුංචි මොනාද ඉව්වේ?,දන්නෙ නෑ බලන්න ඔනි
ලංකාවට ලගම රට මොකක්ද?,ඉන්දියාව
හැමෝටම කරන්න බැරි දෙයක්ද?,ඕනෙේ කෙනෙක්ට කරන්න පුලුවන්.
ඉදිකටු ටික බිමට වැටුනා පෑගුනේ නෑ නේද?,නෑ නෑ 
"ගෙවල් දොරවල්, රස්සාවක් එහෙම තියනවනෙ දැන් නේද?",ඔව් තියනවා 
කවදාද නඩුව දමන්න අවශ්‍ය?,ඉක්මනින්ම ඕනේ වෙනවා.
ඔයා ඒකට උත්සහ කරලා බලනවද?,හරි බලන්නම්
ඇයි ලියාපදිංචි කරන්නේ?,ඕන නිසා
ඔබට තනිකමක් දැනෙනවාද?,නැ මම යාළුවන් සමඟ විනෝද වෙමි
ඔයා ශ්‍රී ලංකාවෙ පුරවැසියෙක්ද?,ඔවු මම ලාංකිකයෙක්
පෑනක් ගෙනාවද ?,ඔව්
අර මිනිසා කවුද?,මම දන්නෙ නෑ
පාරේ ගමන් කළ යුත්තේ කුමන දිශාවෙන්ද?                                    ,වම් පැත්තෙන් 
ඔයා බුද්ධිමත්  බවෙන් අඩුයිද?,නෑ එහෙම නෑ
ඔයාගෙ පවුලෙ කී දෙනෙක් ඉන්නවද?,පස්දෙනෙක් පවුලෙ ඉන්නවා
කවුද එදා එන්න එපා කිව්වේ?,අම්මා එපා කිව්වා
කීයක් ඉතුරුද? ,6ක් ඉතුරුයි
වඩාත්ම කැමති කෙනෙක් ඉන්නවද විලාසිතා කරන?,මට හිත යන ඕන විලාසිතාවකට කැමතියි.
මම මැරෙනවා බලාගන ඉන්න බැරිද?,මට බලාගන ඉන්න බෑ.
ඔහු ගැන කියන්න කැමතිද?,පසුවට කියන්නම්.
අපි මේ කෑම කමුද?,කමු
මේ ඇදුම මහන්න ඔයාට පුලුවන්ද?,ඔව් මට පුලුවන්
නිතරම මුඛ ආවරණ දාලද ඉන්න ඕනෙ?,ඔව්
කෑම හොදයිද?,ඔව් හොදයි
ඔයාට බැරිද මෙතන නතර වෙන්න?,නවතින්නම්
වද වෙනවද,ඔව් ගොඩක් 
ඔයාට මට උදව් කරන්න පුලුවන් කොහෙදිද,ඕනිම තැනකදී
ඔබ කැමති මොන පාට වාහනයකටද?,කලුපාට 
ඔබේම ව්‍යාපාරයක්  ආරම්භ කිරීමට අවශ්‍යද?, ඔව්  මට අවශ්‍යයි
කවදද පුනරීක්ෂණ පංති?,හෙට
දිගද?,නෑ
අද රෑට මේක ඉවර කරන්න ඕනි.,ඔව් කරමූ
ඔබ ඒ බව නොදන්නවාද?,ඔව්
ජනෙල් රෙදි දාලද?,ඔව් දාලා 
ඇයි දැන් ඔයාට දුක?,දුක නෑ
ඇයි අපිට මෙහෙම වෙන්නෙ?,අපි දුප්පත්නෙ එකයි.
කෝච්චියේ ගිහින් තියෙනවද ?,ගිහින් තියෙනවා
ඔබ තොරතුරු සෙවීමට අන්‍තර්ජාලය භාවිතා කරනවද? ,ඔව් 
        ඔයාගේ කොණ්ඩෙ දිගයි ද?      ,ඔව් දිගයි     
call එකක් ගත්තා ඇහුනෙ නැද්ද,නෑ මට ඇහුන්නෑ
තවම ලියාපදිංචි උනෙ නැද්ද,තවම නැ
සීගිරියට ගිහින් තියෙනවද?,ඔව්
පලතුරු කමුද අපි?,හා අපි කමු.
එච්චරද කියන්න තියේන්නේ,ඔව්
ඔබගෙ පාසල ගොඩක් දුරයිද?,මගේ ගෙදර සිට කිලෝමිටර 6ක් දුරයි
හීන බලලා ඉවරද ඔබ?,තාම නැහැ
ඉබ්බා ජලයේ වාසය කරනවාද? ,ඔව් 
ඔයා කෑම කාලද ඉන්නේ?,ඔවු මං කෑවා.ඔයා?
ඔබ රට හදන්න කැමතිද?,කැමති
කේන්දර විශ්වාස කරනවද,ඔව්
ඔයාලට ගෙනත් දෙනවද?,ඔව් අපට හැමපාරම දෙනවා.
ඔයා මාලුන්ට කැමතිද,ඔව් මම කැමති
ඔයා සුනාමි දැකලා තියද?,නෑ මම දැකලා නෑ
විවාහ සංවත්සරයද?,ඔව්
මළපහා බැහැර කරාද?,බැහැර කරා.
කොහෙද බෝම්බේ පිපුරුණේ?,දන්නෑ මටත් යන්තම් ඇහුණා විතරයි
ඕක ඔතනින් තිබ්බද?,ඔව්
මේක තෑග්ගක්ද?,ඔව් තෑග්ගක්
ඇත්තටම අපි වෙනුවෙන් කැපජුන ගුරුවරු තාම ඉස්කෝලෙ යනවා නේද?,ඔව්
ඔරලෝසුව ඔයාගේද?,නැ මගේ නෙවේ
ඉන්ටවල් එකේ පනිමුද,හා පනිමු
ඔහොම ඉන්න මං ඔයාව ගන්න එන්නම්,හා මම ඉන්නම්
කවුද දැන් අගමැති?,මං දන්නැ ඕවා
ඔයා සතුන්ට හිංසා කරන කෙනෙක්ද?,නැහැ මම සතුන්ට අළුම්කරන්නෙක්මි
මුහුණු පොතේ ඉන්නවද?,නැහැ
ලෝකයෙ හැමෝම පාසල් යනවද?,නැහැ
බෙහෙත් විදලද?,ඔව් විදලා
මේ අගොස්තුද?,නෑ 
මේ මනුස්සයා කරත්තෙට පටවන්න පුලුවන්ද ?,බෑනෙ මෙයා මහත වැඩීනේ
බල්ලන්ට බෙහෙත් විද්දාද?,තාම නැහැ
 ඔබ සම්මුඛ සාකච්ඡා කිරීමට කැමති කාවද?,අධ්‍යක්ෂ පැට්‍රික් මහතාව
කතා නොකර ඉන්න පුළුවන්ද,පුළුවන්
අලුවාවලට මොනවද දැම්මේ,කජු දැම්මේ
මින්සෙකුගේ සාමාන්‍ය ශ්වසන වේගය වනුයේ?,විනාඩියකට වාර 16
ඔයා වැඩියෙන් කන්න කැමති ආහාරය කුමක්ද?,රොටි සහ පාන්
ඔයා ඒක දැම්මද?,ඔව්
තල් අල කන්න මං හරිම ආසයි,මමත් ආසයි 
ඔබේ පළමු රැකියාව කුමක්ද?, කම්කරු සේවය
ඇයි තවම එය බැරි උනේ?,මට මහන්සි නිසා
ඔබ එම දිය සලකුණ සෑදුවේ කෙසේද? ,අයියා හැදුවේ
ඔබ උයන්න කැමතිද,ඔව් මම කැමතියි
කොච්චර ලොකුද,මගීන් 50 විතර යන්න පුලුවන්
කවුද මට එන්න කිව්වෙ?,අමර මට එන්න කිව්වා
පාසලට එන විට වෙලාව කීයද?,හයට විතර ඇති.
හුදකලාව අවනඩුවක්ද?,ඔව්
එහෙනම් අපි යන්ද?,හා ගිහින් එන්න
ජිවිතේ සුන්දරයිද?,නැ
කවුද ඒ නළුවා?,අලුත් කෙනෙක්
දොරරෙදි දැම්මද?,දැම්මා
මං මැරෙන්න කලින් ඒ දේ මට දෙන්න පුලුවන්ද පුතේ?,ඔව් පුළුවන් 
මිදුල අතු ගෑව ද?,ඔව්
ඔබ මිනිසුන්ට උදව් කිරීමෙන් සතුටු වෙනවද? ,ඔව් 
ඔයා නවකතා පොත් කියවනවද?,ඔව් මම කියවනවා
දොර වැහුනේ ඇයි?,හුලඟ නිසා
රට පැනලා යයිද?,දන් නෑ
ඔබගේ වටිනාම වස්තුව කුමක්ද?, මගේ අම්මා
ඔබ සතු සුවිශේෂී හැකියාව කුමක්ද?,මට වේගයෙන් ලිවීමට පුළුවන් 
මැජික් වලට දේවල් මවන්න පුලුවන් නම් ඇයි ඩොලර් මවන්න බැරි?,දන් නෑ
පැණි රසයිද?,ඔව්
ඔයාට තව මොනවහරි දැනගන්න දේවල් තියද?,නෑ දැනට එච්චරයි
ඒක රැහැන් කේබල් රියක්ද?,"ඔව් නේද
"
ඔයා සියඹලා කැඩුවද?,ඔව්
ඔයාගේ ගෙදර සේවක සේවිකාවෝ ඉන්නවද?,එක්කෙනෙක්වත් නෑ
ඔබට ඕනෑවට වඩා ජලය පානය කළ හැකිද?,බෑ
ඔයා දැන් වැඩසටහනෙන් සමු ගන්නවද,ඔව් ඉවරයි මේක
ඉඩම හොදද?,ඉඩම හොදයි.
පින්තූරයක් ගත්තද?,ගොඩක් ගත්තා
රටකට සංස්කෘතිය වාදගත් ද?,ඔව් වැදගත්.
ඔයා පසලට යන්නෙ මොකේද?,බයිසිකලයේ
ඒක කිව්වද? ,ඔව් කිව්වා
පොල්මුරේ කඩලා ඉවරද,ඔව් ඉවරයි
ඔයා එකක් ගත්තාද?,ඔව්.
ෆෑන් එක දැම්මට තාමත් රස්නෙයි නේද?,ඔව්
ඔයා කාඩ් කිරීඩාවට දක්ශයි නේද?,ඔ දක්ශයි
ඇමතුමක් එයිද?,ඔව් එයි
අද මැච් එකද,අද නෑ
ගෙදර වතුර තියෙනවද?,ඔව්
එකට තමා හම්බෙන්න යමු කිවුවේ,හරි හරි එහෙනම් යමු හම්බවෙන්න කවුද බලන්න ඔය
මේ පාරේ පොත් සාප්පුවක් තිබෙනවද?,මේ පාරේ තියනවා
ඔයාගේ බල්ලා මොන පාටද?,කළු පාටයි
ඔයා මගේ බෝතලේ ගත්තා ද?,නෑ මන් ගත්තේ නෑ
ඔයාගේ නම මොකක්ද?, චමෝදි             
තරඟ කරාද?,ඔව්
මේක ඇත්තටම ඔයාට අභියෝගයක්ද?,ඔව් ඇත්තවශයෙන්ම
කිසි ප්‍රශ්නයක් නෑ නේද?,නැහැ ප්‍රශ්නයක් නෑ
මං වාඩිවෙන්නද මෙතනින්?,එපා
හැමදේටම බෑ කියනවද?,බෑ කියනවා.
කවුද මිනිස්සු මරන්නෙ?,ඔයා මිනිස්සු මරන්නෙ
ඇය කොල්ලෙකට පහර දුන්නාද ,ඔව් පහර දුන්නා
මේ වැඩේ බයානකයිද?,ඔව්
ඔයාට ආලෝකයක් තියෙනවද?,ඔව්
වාහන වලට හෝන් හයි කරන්නේ ඇයි?,රිය අනතුරු අවම කරන්න
ඔබේ අසල්වාසීන් ඔබත් සමග සුහදයිද? ,ඔව් 
එයා මොකද්ද භාර ගත්ත වැඩේ,ලියුමක් ලියන්න
මොනවද ඔච්චර ලියන්නෙ?,අකුරු
තවත් සෙනග ගත්තද?,හරක් පටවනවා වගේ.
Online විභාග හොදයිද?,මමනම් ආස නෑ
 ඔයාගේ නම් මොකද්ද,සුමන 
හදිසි නීතියත් දාලද? ,දන්නෙ නෑ
මේ පිරිස ඇතිද?,හොඳටම ඇති
ගෑස් ඉවර වෙලා නේද?,ටිකක් තියනවා
මට පැහැදිලි මදි,මම තව පැහැදිලි කරන්ම්
ඇයි එපා කියන්නේ?,මම නිකන් උගන්නන්නම්
වාහනේ අයිනට කරලා නවත්තගමු නේද?,හා හරී 
සුබ දවසක්?,ඔයාටත්.
මහනුවර යමුද?,හා
ඒ පොත මරු නේද,මරු
