ශ්‍රී ලංකාවේ නිල භාෂාව කුමක්ද?, ශ්‍රී ලංකාවේ නිල භාෂා සිංහල සහ දෙමළ වේ.
ශ්‍රී ලංකාවේ මුදල් ඒකකය කුමක්ද?,ශ්‍රී ලංකාවේ මුදල් ඒකකය ශ්‍රී ලංකා රුපියල වේ.
ශ්‍රී ලංකාවේ ජනගහනය කොපමණ ද?, 2021 වන විට ශ්‍රී ලංකාවේ ඇස්තමේන්තුගත ජනගහනය මිලියන 21.5 ක් පමණ වේ.
ශ්‍රී ලාංකේය ආහාරවල ජනප්‍රිය කෑම වර්ග මොනවාද?, ශ්‍රී ලාංකේය ආහාරවල සමහර ජනප්‍රිය කෑම අතරට බත් සහ කරපිංචා ආප්ප කොත්තු සහ ඉඳිආප්ප ඇතුළත් වේ.
ශ්‍රී ලංකාවේ ජනප්‍රිය සංචාරක ආකර්ෂණ ස්ථාන මොනවාද?, ශ්‍රී ලංකාවේ ජනප්‍රිය සංචාරක ආකර්ෂණයන් අතරට පුරාණ අනුරාධපුර නගරය සීගිරිය ගල් බලකොටුව සහ  මහනුවර දළදා මාලිගාව  ඇතුළත් වේ.
ශ්‍රී ලංකාවේ බහුතර ජනයාගේ ආගම කුමක්ද?, ලංකාවේ බහුතර ජනතාව බුද්ධාගම අදහති.
ශ්‍රී ලංකාවේ උසම කන්ද කුමක්ද?,ශ්‍රී ලංකාවේ උසම කන්ද වන්නේ පිදුරුතලාගල වන අතර එය මීටර් 2 524 (අඩි 8 281) ක උන්නතාංශයක පිහිටා ඇත.
ශ්‍රී ලංකාවේ දේශගුණය කෙබඳුද?, ශ්‍රී ලංකාවේ දේශගුණය නිවර්තන කලාපීය පැහැදිලි තෙත් සහ වියලි කාලවල් ඇත. නිරිතදිග මෝසම මැයි සිට සැප්තැම්බර් දක්වා අධික වර්ෂාපතනයක් ගෙන එයි. ඊසානදිග මෝසම් දෙසැම්බර් සිට පෙබරවාරි දක්වා වර්ෂාව ගෙන එයි.
අලි ඇතුන් සඳහා ප්‍රසිද්ධ ශ්‍රී ලංකාවේ ජාතික වනෝද්‍යානයේ නම කුමක්ද?, අලි ඇතුන් සඳහා ප්‍රසිද්ධ ශ්‍රී ලංකාවේ ජාතික වනෝද්‍යානය මින්නේරිය ජාතික වනෝද්‍යානය ලෙස හැඳින්වේ.
ලෝකයේ විශාලතම කාන්තාරය කුමක්ද?,ලොව විශාලතම කාන්තාරය උතුරු අප්‍රිකාවේ සහරා කාන්තාරයයි.
දකුණු ඇමරිකාවේ දිගම ගංගාව කුමක්ද?, දකුණු ඇමරිකාවේ දිගම ගංගාව ඇමේසන් ගඟ වන අතර එය බ්‍රසීලය සහ පේරු සහ කොලොම්බියාව සහ තවත් රටවල් කිහිපයක් හරහා ගලා යයි.
"The Starry Night" සුප්‍රසිද්ධ කලා කෘතිය පින්තාරු කළේ කවුද?, සුප්‍රසිද්ධ කලා කෘතිය "The Starry Night" සිතුවම් කළේ Vincent van Gogh විසිනි.
ලෝකයේ උසම ගොඩනැගිල්ල කුමක්ද?, 2021 වන විට ලෝකයේ උසම ගොඩනැගිල්ල එක්සත් අරාබි එමීර් රාජ්‍යයේ ඩුබායි හි Burj Khalifa වේ.
සඳ මත ඇවිද ගිය පළමු පුද්ගලයා කවුද?, 1969 දී ඇපලෝ 11 මෙහෙයුමේදී සඳ මත ඇවිද ගිය පළමු පුද්ගලයා නීල් ආම්ස්ට්‍රෝං ය.
අපගේ සෞරග්‍රහ මණ්ඩලයේ විශාලතම ග්‍රහලෝකයේ නම කුමක්ද?, අපගේ සෞරග්‍රහ මණ්ඩලයේ විශාලතම ග්‍රහලෝකය බ්‍රහස්පති වේ.
මෙතෙක් වැඩිම ආදායමක් උපයාගත් චිත්‍රපටය කුමක්ද?, 2021 වසරේ මගේ දැනුමේ කඩඉම අනුව, ජේම්ස් කැමරන් විසින් අධ්‍යක්ෂණය කරන ලද Avatar චිත්‍රපටය 2021 වසරේ වැඩිම ආදායමක් ඉපැයූ චිත්‍රපටයයි.
ලෝක ව්‍යාප්ත වෙබ් සොයාගත්තේ කවුද?, ලෝක ව්‍යාප්ත වෙබ් බ්‍රිතාන්‍ය පරිගණක විද්‍යාඥ ටිම් බර්නර්ස්-ලී විසින් සොයා ගන්නා ලදී.
උතුරු ඇමරිකාවේ උසම කන්දේ නම කුමක්ද?, උතුරු ඇමරිකාවේ උසම කන්ද ඇලස්කාවේ පිහිටා ඇති ඩෙනාලි (කලින් මවුන්ට් මැකින්ලි ලෙස හැඳින්වේ).
පෘථිවියේ විශාලතම සත්වයාගේ නම කුමක්ද?, පෘථිවියේ විශාලතම සත්වයා නිල් තල්මසා වේ.
ශ්‍රී ලංකාවේ ජාතික ගුවන් සේවය කුමක්ද?, ශ්‍රී ලංකාවේ ජාතික ගුවන් සේවය ශ්‍රී ලංකන් ගුවන් සේවයයි.
සීගිරියේ ඇති සුප්‍රසිද්ධ පාෂාණ සංයුතියේ නම කුමක්ද?,සීගිරියේ ඇති සුප්‍රසිද්ධ පාෂාණ සැකැස්ම සිංහ පර්වතය ලෙස හැඳින්වේ.
ශ්‍රී ලංකාවේ උසම දිය ඇල්ල කුමක්ද?, ශ්‍රී ලංකාවේ උසම දිය ඇල්ල වන්නේ මීටර් 263 (අඩි 863) ක උසකින් යුත් බඹරකන්ද ඇල්ලයි.
ශ්‍රී ලාංකේය සංගීතයේ භාවිතා වන සාම්ප්‍රදායික බෙරයේ නම කුමක්ද?, ශ්‍රී ලාංකේය සංගීතයේ භාවිතා වන සාම්ප්‍රදායික බෙරය "දවුල" ලෙස හැඳින්වේ.
අනුරාධපුර රාජධානියේ අගනුවර වූ ශ්‍රී ලංකාවේ පැරණි නගරයේ නම කුමක්ද?,අනුරාධපුර රාජධානියේ අගනුවර වූ ශ්‍රී ලංකාවේ පැරණි නගරය අනුරාධපුර නමින්ද හැඳින්වේ.
උඩරට රාජධානියේ ආරම්භ වූ සාම්ප්‍රදායික ශ්‍රී ලාංකේය නර්තනයේ නම කුමක්ද?, උඩරට රාජධානියේ ආරම්භ වූ සාම්ප්‍රදායික ශ්‍රී ලාංකේය නර්තනය උඩරට නැටුම් නොහොත් උඩරට නැටුම් ලෙස හැඳින්වේ.
මුරුගන් දෙවියන්ට කැප වූ ශ්‍රී ලංකාවේ සුප්‍රසිද්ධ හින්දු කෝවිලේ නම කුමක්ද?, මුරුගන් දෙවියන්ට කැප වූ ශ්‍රී ලංකාවේ සුප්‍රසිද්ධ හින්දු කෝවිල ත්‍රිකුණාමලයේ පිහිටි කෝනේෂ්වරම් කෝවිල ලෙස හැඳින්වේ.
බෞද්ධ හා හින්දු භක්තිකයන් විසින් සමරනු ලබන ශ්‍රී ලංකාවේ සුප්‍රසිද්ධ උත්සවයේ නම කුමක්ද?, බෞද්ධයන් සහ හින්දු භක්තිකයන් විසින් සමරනු ලබන ශ්‍රී ලංකාවේ සුප්‍රසිද්ධ උත්සවය වෙසක් හෝ වෙසක් ලෙස හැඳින්වේ.
කෙසෙල් කොළයක ඔතා තැම්බූ එළවළු, මස්, සහ/හෝ මාළු කුළුබඩු මිශ්‍රණයකින් සමන්විත ශ්‍රී ලාංකික ආහාරයේ නම කුමක්ද?, එළවළු, මස්, කුළුබඩු මිශ්‍රණයකින් සමන්විත ශ්‍රී ලංකා ආහාරය සහ/හෝ කෙසෙල් කොළයක ඔතා තැම්බූ මාළු "ලැම්ප්‍රයිස්" ලෙස හැඳින්වේ.
ප්‍රංශයේ අගනුවර කුමක්ද?, ප්‍රංශයේ අගනුවර පැරිස් ය.
පෘථිවියේ විශාලතම සාගරයේ නම කුමක්ද?, පෘථිවියේ විශාලතම සාගරයේ නම පැසිෆික් සාගරයයි.
සුප්‍රසිද්ධ "To Kill a Mockingbird" නවකතාව ලිව්වේ කවුද?, සුප්‍රසිද්ධ "To Kill a Mockingbird" නවකතාව ලිව්වේ Harper Lee විසිනි.
අපගේ සෞරග්‍රහ මණ්ඩලයේ විශාලතම ග්‍රහලෝකයේ නම කුමක්ද?, අපගේ සෞරග්‍රහ මණ්ඩලයේ විශාලතම ග්‍රහලෝකය බ්‍රහස්පති වේ.
සඳ මත පා තැබූ පළමු මිනිසාගේ නම කුමක්ද?,සඳ මත පා තැබූ පළමු මිනිසාගේ නම නීල් ආම්ස්ට්‍රෝන් ය.
ලෝකයේ උසම කන්ද කුමක්ද?,ලෝකයේ උසම කන්ද එවරස්ට් කන්දයි.
"මොනාලිසා" සුප්‍රසිද්ධ කලා කෘතිය පින්තාරු කළේ කවුරුන්ද?, ප්‍රසිද්ධ කලා කෘතිය "ද මොනාලිසා" ලෙනාඩෝ ඩා වින්චි විසින් පින්තාරු කරන ලදී.
එංගලන්තයේ කේම්බ්‍රිජ් හි සුප්‍රසිද්ධ විශ්ව විද්‍යාලයේ නම කුමක්ද?, එංගලන්තයේ කේම්බ්‍රිජ් හි සුප්‍රසිද්ධ විශ්ව විද්‍යාලයේ නම කේම්බ්‍රිජ් විශ්ව විද්‍යාලයයි.
ප්‍රංශයෙන් ඇමරිකාවට තිළිණ කළ නිව්යෝර්ක් වරායේ සුප්‍රසිද්ධ ප්‍රතිමාවේ නම කුමක්ද?,ප්‍රංශයෙන් ඇමෙරිකාවට තිළිණ කළ නිව්යෝර්ක් වරායේ සුප්‍රසිද්ධ පිළිමයේ නම ලිබර්ටි ප්‍රතිමාව වේ.
ඊජිප්තුවේ සුප්රසිද්ධ ගංගාවේ නම කුමක්ද?, ඊජිප්තුවේ සුප්රසිද්ධ ගංගාවේ නම නයිල් ගඟයි.
ඕස්ට්‍රේලියාවේ අගනුවර කුමක්ද?,කැන්බරා
මොනාලිසා නම් සුප්‍රසිද්ධ කලා කෘතිය පින්තාරු කළේ කවුද?, ලියනාඩෝ ඩා වින්චි
අපගේ සෞරග්‍රහ මණ්ඩලයේ විශාලතම ග්‍රහලෝකය කුමක්ද?, බ්‍රහස්පති
ලෝකයේ උසම කන්ද කුමක්ද?,එවරස්ට් කන්ද
භූමි ප්‍රමාණය අනුව ලෝකයේ කුඩාම රට කුමක්ද?,වතිකානු නගරය
ලෝකයේ විශාලතම කාන්තාරයේ නම කුමක්ද?, සහරා
ලෝකයේ විශාලතම ක්ෂීරපායී සත්වයා කුමක්ද?,නිල් තල්මසා
සඳ මත ඇවිද ගිය පළමු පුද්ගලයා කවුද?, නීල් ආම්ස්ට්‍රෝං
ශාක තමන් විසින්ම ආහාර සාදා ගන්නා ක්‍රියාවලියේ නම කුමක්ද?, ප්‍රභාසංශ්ලේෂණය
පෘථිවියේ විශාලතම සාගරයේ නම කුමක්ද?, පැසිෆික් සාගරය
පෘථිවි වායුගෝලයේ බහුලව දක්නට ලැබෙන වායුව කුමක්ද?, නයිට්‍රජන්
"To Kill a Mockingbird" නවකතාව ලිව්වේ කවුද?, හාපර් ලී
රන් සඳහා රසායනික සංකේතය කුමක්ද?, Au
සූර්යයාට සමීපතම ග්‍රහලෝකයේ නම කුමක්ද?,බුධ
දුරකථනය සොයාගත්තේ කවුද?, ඇලෙක්සැන්ඩර් ග්‍රැහැම් බෙල්
Harry Potter පොත් මාලාව ලියූ කතුවරයාගේ නම කුමක්ද?,J.K. රෝලිං
පෘථිවියේ විශාලතම මහාද්වීපයේ නම කුමක්ද?,ආසියාව
මිනිස් සිරුරේ විශාලතම ඉන්ද්‍රියයේ නම කුමක්ද?, සම
"Fe" රසායනික සංකේතය සහිත මූලද්‍රව්‍යයේ නම කුමක්ද?,යකඩ
ජලය වාෂ්ප බවට පත්වන ක්‍රියාවලිය හඳුන්වන්නේ කුමක්ද?, වාෂ්පීකරණය
එක්සත් රාජධානියේ පළමු කාන්තා අගමැතිනිය කවුද?, මාග්‍රට් තැචර්
ලෝකයේ විශාලතම දිය ඇල්ලේ නම කුමක්ද?, වික්ටෝරියා දිය ඇල්ල
පෘථිවිය දෙසට වස්තූන් වැටීමට හේතු වන බලයේ නම කුමක්ද?, ගුරුත්වාකර්ෂණය
"The Starry Night" නම් සුප්‍රසිද්ධ කලා කෘතිය පින්තාරු කළේ කවුද?,Vincent van Gogh
"The Catcher in the Rye" ලියූ කතුවරයාගේ නම කුමක්ද?,J.D. සැලින්ගර්
ජපානයේ භාවිතා කරන මුදල් ඒකකයේ නම කුමක්ද?,යෙන්
පෘථිවියේ කුඩාම මහාද්වීපය කුමක්ද?, ඕස්ට්‍රේලියාව
මයික්‍රොසොෆ්ට් ආරම්භ කළ පුද්ගලයාගේ නම කුමක්ද?, බිල් ගේට්ස්
සාපේක්ෂතාවාදය සොයා ගත් විද්‍යාඥයාගේ නම කුමක්ද?, ඇල්බට් අයින්ස්ටයින්
අප්‍රිකාවේ දිගම ගංගාවේ නම කුමක්ද?, නයිල්
පෘථිවියේ විශාලතම ගොඩබිම සත්වයාගේ නම කුමක්ද?,අලියා
ජීවියෙකු පරිසරයට අනුවර්තනය වීමට වෙනස් වන ක්‍රියාවලියේ නම කුමක්ද?, පරිණාමය
එක්සත් ජනපදයේ 44 වැනි ජනාධිපතිවරයා කවුද?, බැරක් ඔබාමා
"Na" සංකේතය සහිත රසායනික මූලද්‍රව්‍යයේ නම කුමක්ද?,සෝඩියම්
නැගී එන සූර්යයාගේ දේශය ලෙස හැඳින්වෙන රටේ නම කුමක්ද?, ජපානය
ලෝකයේ විශාලතම මලෙහි නම කුමක්ද?,Rafflesia
"The Great Gatsby" නවකතාව ලිව්වේ කවුද?, එෆ්. ස්කොට් ෆිට්ස්ජෙරල්ඩ්
මිනිස් සිරුරේ ඇති කුඩාම අස්ථියේ නම කුමක්ද?, ස්ටේප්ස්
ලෝක ව්‍යාප්ත වෙබ් අඩවිය නිර්මාණය කළ පුද්ගලයාගේ නම කුමක්ද?, ටිම් බර්නර්ස්-ලී
ද්‍රවයක් වායුවක් බවට පත්වන ක්‍රියාවලියේ නම කුමක්ද?, තාපාංකය
ලොව වටා ගමන් කළ පළමු පුද්ගලයා කවුද?, ෆර්ඩිනන්ඩ් මැගෙලන්
ලෝකයේ විශාලතම පක්ෂියාගේ නම කුමක්ද?, පැස්බරා
"The Scream" නම් සුප්‍රසිද්ධ කලා කෘතිය පින්තාරු කළ පුද්ගලයාගේ නම කුමක්ද?, Edvard Munch
සුප්‍රසිද්ධ "1984" නවකතාව ලියූ පුද්ගලයාගේ නම කුමක්ද?, ජෝර්ජ් ඕවල්
Land Down Under, ඕස්ට්‍රේලියාව ලෙස හඳුන්වන රටේ නම කුමක්ද?
ලෝකයේ විශාලතම මාළුවාගේ නම කුමක්ද?,Whale shark
වායුවක් ද්‍රවයක් බවට පත්වන ක්‍රියාවලියේ නම කුමක්ද?, ඝනීභවනය
"අන්තිම රාත්‍රී භෝජනය" නම් සුප්‍රසිද්ධ කලා කෘතිය පින්තාරු කළේ කවුද?, ලෙනාඩෝ ඩා වින්චි
Amazon ආරම්භ කළ පුද්ගලයාගේ නම කුමක්ද?,Jeff Bezos
"Ca" සංකේතය සහිත රසායනික මූලද්‍රව්‍යයේ නම කුමක්ද?,කැල්සියම්
අප්‍රිකාවේ මුතු ඇටය ලෙස හඳුන්වනු ලබන රටේ නම කුමක්ද?,උගන්ඩාව
අපේ සෞරග්‍රහ මණ්ඩලයේ විශාලතම චන්ද්‍රයාගේ නම කුමක්ද?,ගැනිමීඩ්
දෙවන ලෝක යුද්ධ සමයේදී සෝවියට් සංගමයේ නායකයා කවුද?, ජෝසප් ස්ටාලින්
ඝනයක් වායුවක් බවට පත්වන ක්‍රියාවලියේ නම කුමක්ද?,උත්පත්තිය
ලෝකයේ උසම ක්ෂීරපායියාගේ නම කුමක්ද?,ජිරාෆ්
ශබ්ද තරංග විද්‍යුත් සංඥා බවට පත් කරන ක්‍රියාවලියේ නම කුමක්ද?, මයික්‍රොෆෝනය
පෙනිසිලින් සොයාගත් පුද්ගලයාගේ නම කුමක්ද?, ඇලෙක්සැන්ඩර් ෆ්ලෙමින්
උතුරු ඇමරිකාවේ විශාලතම කාන්තාරයේ නම කුමක්ද?,Great Basin Desert
ටෙස්ලා ආරම්භ කළ පුද්ගලයාගේ නම කුමක්ද?, එලොන් මස්ක්
"Hg" සංකේතය සහිත රසායනික මූලද්‍රව්‍යයේ නම කුමක්ද?,රසදිය
නැඟී එන මකරාගේ දේශය ලෙස හැඳින්වෙන රටේ නම කුමක්ද?, වියට්නාමය
ලෝකයේ විශාලතම කටුස්සාගේ නම කුමක්ද?,කොමෝඩෝ මකරා
"The Persistence of Memory" නම් සුප්‍රසිද්ධ කලා කෘතිය පින්තාරු කළේ කවුද?, සැල්වදෝර් ඩාලි
සුප්‍රසිද්ධ "The Adventures of Huckleberry Finn" නවකතාව ලියූ පුද්ගලයාගේ නම කුමක්ද?, මාර්ක් ට්වේන්
ගිනි හා අයිස් දේශය ලෙස හඳුන්වනු ලබන රටේ නම කුමක්ද?, අයිස්ලන්තය
ලෝකයේ විශාලතම උරගයාගේ නම කුමක්ද?, ලුණු වතුර කිඹුලා
චුම්බකයක් මගින් විද්‍යුත් ධාරාවක් නිපදවන ක්‍රියාවලියේ නම කුමක්ද?, විද්‍යුත් චුම්භකත්වය
පෘථිවිය වටා කක්ෂගත වූ පළමු ඇමරිකානු ගගනගාමියා කවුද?, ජෝන් ග්ලෙන්
ෆේස්බුක් ආරම්භ කළ පුද්ගලයාගේ නම කුමක්ද?, මාර්ක් සකර්බර්ග්
"Ag" සංකේතය සහිත රසායනික මූලද්‍රව්‍යයේ නම කුමක්ද?,රිදී
ගිගුරුම් සහිත මකරාගේ දේශය ලෙස හැඳින්වෙන රටේ නම කුමක්ද?, භූතානය
ලෝකයේ විශාලතම බළලාගේ නම කුමක්ද?, සයිබීරියානු කොටියා
"Pride and Prejudice" නම් සුප්‍රසිද්ධ නවකතාව ලිව්වේ කවුද?, ජේන් ඔස්ටන්
නැගී එන සූර්යයාගේ දේශය ලෙස හැඳින්වෙන රටේ නම කුමක්ද?, ජපානය
"ඔහු" සංකේතය සහිත රසායනික මූලද්‍රව්‍යයේ නම කුමක්ද?,හීලියම්
විශාලතම වලස් විශේෂයේ නම කුමක්ද?, හිම වලසා
ඝන ද්‍රවයක් බවට පත්වන ක්‍රියාවලියේ නම කුමක්ද?,දියවීම
ශරීරයේ ප්‍රතිශක්තිකරණ පද්ධතිය තමන්ගේම පටක වලට පහර දෙන තත්වයේ නම කුමක්ද?, ස්වයං ප්‍රතිශක්තිකරණ රෝගය
ඒඩ්ස් ඇති කරන වෛරසයේ නම කුමක්ද?, එච්.අයි.වී
හෘද ස්පන්දනය ඉතා වේගයෙන් සිදුවන තත්වයේ නම කුමක්ද?, Tachycardia
රුධිරයේ සීනි මට්ටම නියාමනය කරන හෝමෝනයේ නම කුමක්ද?, ඉන්සියුලින්
පෙණහලුවල අසාමාන්‍ය ලෙස තරල සමුච්චය වන තත්වයේ නම කුමක්ද?, පෙනහළු ඉදිමීම
ශ්වසන මාර්ග දැවිල්ල හා පටු වීමට හේතු වන රෝගයේ නම කුමක්ද?, ඇදුම
තයිරොයිඩ් ග්‍රන්ථිය අධික ලෙස හෝමෝන නිපදවන තත්වයේ නම කුමක්ද?,හයිපර් තයිරොයිඩ්වාදය
අස්ථි ඝනත්වය අඩු වීමක් ඇති වන තත්ත්වයෙහි නම කුමක්ද?, ඔස්ටියෝපොරෝසිස්
ශරීරයට ග්ලූකෝස් නිසි ලෙස සැකසීමට නොහැකි තත්වයේ නම කුමක්ද?,දියවැඩියාව
අසාමාන්‍ය ලෙස සෛල වර්ධනයක් ඇති වන තත්වයේ නම කුමක්ද?,පිළිකා
ශරීරයේ ප්‍රතිශක්තිකරණ පද්ධතිය අසාත්මිකතාවයකට අධික ලෙස ප්‍රතික්‍රියා කරන තත්වයේ නම කුමක්ද?, අසාත්මිකතා ප්‍රතික්‍රියාව
රතු රුධිර සෛල ඌනතාවක් පවතින තත්ත්වයෙහි නම කුමක්ද?, රක්තහීනතාවය
ධමනි තුළ කොලෙස්ටරෝල් සමුච්චය වන තත්වයේ නම කුමක්ද?, ධමනි සිහින් වීම
අක්මාවේ දැවිල්ල ඇති තත්වයේ නම කුමක්ද?, හෙපටයිටිස්
මතක ශක්තිය නැති වීම සහ අනෙකුත් සංජානන හැකියාවන් ඇති වන තත්වයේ නම කුමක්ද?, ඩිමෙන්ශියාව
රුධිරය නිසියාකාරව කැටි නොගැසී ඇති තත්ත්වයෙහි නම කුමක්ද?,Hemophilia
උදරයේ අසාමාන්‍ය ලෙස තරල සමුච්චය වන තත්වයේ නම කුමක්ද?, ඇස්කයිට්
හදවතේ රිද්මය අක්‍රමවත් වන තත්වයේ නම කුමක්ද?, අරිතිමියාව
සන්ධිවල දැවිල්ල ඇති වන තත්වයේ නම කුමක්ද?,ආතරයිටිස්
හෘදයේ රුධිර නාල වල අවහිරතා ඇති වන තත්වයේ නම කුමක්ද?, කිරීටක හෘද රෝග
විටමින් D ඌනතාවක් පවතින තත්ත්වයෙහි නම කුමක්ද?,Rickets
කොඳු ඇට පෙළේ අසාමාන්‍ය වක්‍රයක් ඇති රෝගී තත්වයේ නම කුමක්ද?, Scoliosis
පෙණහලුවල ඇති වාත බෑගවලට හානි වී විශාල වන තත්ත්වයෙහි නම කුමක්ද?, එම්පිසීමාව
සෞඛ්‍ය සම්පන්නව සිටීම සඳහා උපදෙස් කිහිපයක් මොනවාද?, සෞඛ්‍ය සම්පන්නව සිටීම සඳහා සමහර ඉඟි සමබර ආහාර වේලක් ගැනීම සහ ප්‍රමාණවත් නින්දක් ලබා ගැනීම ඇතුළත් වේ.
මම මගේ නින්ද වැඩි දියුණු කරන්නේ කෙසේද?, ඔබේ නින්ද වැඩි දියුණු කිරීම සඳහා සමහර ක්‍රම ඇතුළත් වන්නේ නිතිපතා නින්ද කාලසටහනකට ඇලී සිටීම  සහ නින්දට පෙර විවේක ගැනීමයි.
මට සෙම්ප්‍රතිශ්‍යාව ඇතැයි සිතුවහොත් මා කුමක් කළ යුතුද?,ඔබට සෙම්ප්‍රතිශ්‍යාව ඇති බව ඔබ සිතන්නේ නම්, විවේකීව සිටීම සහ සජලනය වීම වැදගත් වේ. 
උණ රෝග ලක්ෂණ මොනවාද?, උණ, කැස්ස, උගුරේ අමාරුව, ඇඟපත කැක්කුම හිසරදය මිරිස් සහ තෙහෙට්ටුව උණ රෝග ලක්ෂණ වේ.
උණ වැළැක්විය හැක්කේ කෙසේද?, උණ වැළැක්විය හැකි ක්‍රම අතරට උණ එන්නත ලබා ගැනීම, නිතර අත් සේදීම, අසනීප වූවන් සමඟ සමීප සම්බන්ධතා පැවැත්වීමෙන් වැළකීම සහ ඔබට අසනීප බවක් දැනේ නම් නිවසේ රැඳී සිටීම ඇතුළත් වේ.
මගේ උස සඳහා සෞඛ්‍ය සම්පන්න බරක් යනු කුමක්ද?, ඔබේ උස සඳහා නිරෝගී බරක් වයස, ස්ත්‍රී පුරුෂ භාවය සහ ශරීර සංයුතිය වැනි විවිධ සාධක මත රඳා පවතී. ඔබට සෞඛ්‍ය සම්පන්න බරක් යනු කුමක්ද යන්න තීරණය කිරීමට ඔබේ වෛද්‍යවරයාට උපකාර කළ හැක.
මට උගුරේ අමාරුවක් ඇත්නම් මා කළ යුත්තේ කුමක්ද?,ඔබට උගුරේ අමාරුවක් ඇත්නම්, විවේකීව සිටීම සහ සජලනය වීම වැදගත්. වේදනාව සමනය කිරීම සඳහා ඔබට ලුණු වතුරෙන් උගුර සේදීම හෝ කවුන්ටරයේ වේදනා නාශක ලබා ගැනීමට උත්සාහ කළ හැකිය.
